hval energy mag mag2 mag4 var maxBondDim 
2.6 -207.021 0.000153726 2.48155e-08 7.02824e-16 4.4017e-06 46 
2.62 -208.143 -3.14201e-06 1.0426e-11 1.25645e-22 4.72667e-06 45 
2.64 -209.278 -4.51923e-06 2.17826e-11 5.61837e-22 4.77408e-06 44 
2.65 -209.85 7.19607e-07 5.52134e-13 3.5998e-25 4.74748e-06 44 
2.66 -210.426 -4.17703e-07 1.86572e-13 4.1367e-26 4.86235e-06 43 
2.665 -210.714 8.83273e-09 8.30614e-17 8.12698e-33 4.79012e-06 43 
2.67 -211.004 -4.23949e-08 1.92192e-15 4.38952e-30 4.80399e-06 42 
2.675 -211.294 -8.36746e-08 7.50275e-15 6.72218e-29 4.80401e-06 42 
2.68 -211.585 -2.1585e-08 4.98247e-16 2.94523e-31 4.97769e-06 42 
2.685 -211.877 -1.27349e-08 1.7412e-16 3.63226e-32 4.61008e-06 41 
2.69 -212.169 8.3207e-10 7.47511e-19 6.61996e-37 4.8411e-06 41 
2.695 -212.462 2.2286e-09 5.36135e-18 3.50306e-35 4.89876e-06 41 
2.7 -212.756 -7.76928e-10 6.41588e-19 4.79726e-37 4.81445e-06 40 
2.8 -218.751 2.73544e-11 8.99281e-20 2.54551e-38 5.34159e-06 37 
2.9 -224.934 2.83118e-12 4.04164e-22 4.76273e-42 5.05542e-06 34 
