hval energy mag mag2 mag4 var maxBondDim 
2.3 -256.217 -0.740002 0.55153 0.310839 4.9529e-06 23 
2.4 -262.513 -0.691399 0.483461 0.241526 1.02874e-05 34 
2.5 -269.178 -0.513479 0.268933 0.0764246 0.000286498 56 
2.6 -276.284 0.00218612 4.98518e-06 2.78169e-11 7.15134e-06 60 
2.62 -277.765 0.000318292 1.06539e-07 1.29634e-14 5.73034e-06 52 
2.64 -279.266 -1.32417e-05 1.86555e-10 4.08678e-20 6.38825e-06 50 
2.66 -280.785 -3.65068e-07 1.42122e-13 2.38087e-26 6.5239e-06 48 
2.68 -282.321 4.66471e-09 2.37263e-17 7.04574e-34 6.29688e-06 47 
2.7 -283.874 -4.33676e-09 2.00279e-17 4.75118e-34 6.56662e-06 45 
2.8 -291.838 -8.70606e-11 1.0845e-19 5.81997e-38 7.19193e-06 39 
