hval energy mag mag2 mag4 var maxBondDim 
2.3 -385.039 -0.748741 0.563384 0.322119 6.14766e-06 23 
2.4 -394.397 -0.704863 0.500756 0.256463 8.45434e-06 26 
2.5 -404.296 0.639024 0.41416 0.178272 1.98219e-05 41 
2.6 -414.821 0.0449024 0.00208594 4.75762e-06 8.28197e-05 76 
2.62 -417.016 -0.0261332 0.000713213 5.695e-07 8.17106e-05 73 
2.64 -419.245 0.000117579 1.46066e-08 2.45679e-16 9.72263e-06 56 
2.66 -421.505 2.3514e-05 5.92085e-10 4.16248e-19 9.9304e-06 55 
2.68 -423.794 -1.9609e-06 4.13772e-12 2.05337e-23 1.01746e-05 52 
2.7 -426.11 6.73258e-09 4.77302e-17 2.59376e-33 1.04261e-05 50 
2.8 -438.012 -1.01319e-10 2.69275e-20 3.90346e-39 1.11743e-05 39 
