hval energy mag mag2 mag4 var maxBondDim 
2.6 -414.82 -0.137704 0.0196194 0.000420964 0.000422028 65 
2.62 -417.016 -0.000449009 2.10459e-07 4.95373e-14 9.69018e-06 57 
2.64 -419.245 -0.000336902 1.19745e-07 1.6455e-14 8.91698e-06 57 
2.65 -420.371 0.000159192 2.69036e-08 8.42825e-16 9.40563e-06 56 
2.66 -421.505 2.89178e-06 8.90978e-12 9.31905e-23 1.00867e-05 54 
2.665 -422.075 7.77296e-06 6.46987e-11 4.97039e-21 1.0058e-05 54 
2.67 -422.646 -1.30634e-07 1.82503e-14 3.94541e-28 1.01756e-05 54 
2.675 -423.219 -3.80784e-07 1.55445e-13 2.87591e-26 1.01678e-05 53 
2.68 -423.794 8.67093e-08 8.06271e-15 7.73959e-29 1.01583e-05 52 
2.685 -424.371 4.13836e-07 1.84312e-13 4.07521e-26 1.01909e-05 52 
2.69 -424.949 2.98953e-08 9.60916e-16 1.1065e-30 1.03474e-05 51 
2.695 -425.529 -3.68218e-09 1.41455e-17 2.23593e-34 1.02951e-05 51 
2.7 -426.11 -4.51793e-09 2.16701e-17 5.46824e-34 1.02283e-05 50 
2.8 -438.012 4.22403e-11 2.29013e-20 3.14235e-39 1.13025e-05 39 
2.9 -450.319 1.43774e-13 3.62949e-25 3.91284e-49 1.06e-05 34 
