hval energy mag mag2 mag4 var maxBondDim 
2.6 -137.766 3.21134e-06 1.09198e-11 1.39636e-22 3.00904e-06 38 
2.62 -138.526 2.28842e-07 5.55761e-14 3.62861e-27 2.7533e-06 38 
2.64 -139.294 -5.51554e-08 3.23597e-15 1.23634e-29 2.8895e-06 37 
2.65 -139.68 1.20784e-08 1.55396e-16 2.85793e-32 2.71057e-06 37 
2.66 -140.069 1.98698e-08 4.21966e-16 2.12299e-31 3.10698e-06 36 
2.665 -140.264 4.73944e-10 2.38226e-19 6.66592e-38 3.06301e-06 36 
2.67 -140.459 8.52447e-10 8.13882e-19 8.80145e-37 2.99433e-06 36 
2.675 -140.654 2.54507e-09 6.84054e-18 5.4853e-35 2.96576e-06 36 
2.68 -140.85 2.23682e-09 5.42e-18 3.56308e-35 2.88382e-06 36 
2.685 -141.047 -2.05047e-09 4.71383e-18 2.99226e-35 2.7703e-06 36 
2.69 -141.244 2.50185e-09 6.67935e-18 5.32837e-35 3.00353e-06 36 
2.695 -141.441 2.13943e-09 4.89595e-18 2.86941e-35 2.81005e-06 36 
2.7 -141.639 2.12692e-10 4.84503e-20 2.82211e-39 2.95411e-06 35 
2.8 -145.665 -6.6863e-11 3.4164e-20 4.06435e-39 3.22371e-06 35 
2.9 -149.806 3.88535e-12 1.64545e-20 3.49837e-39 3.34415e-06 33 
