hval energy mag mag2 mag4 var maxBondDim 
2.6 -276.284 0.00253541 6.70621e-06 5.03433e-11 8.23651e-06 62 
2.62 -277.765 -0.000182895 3.52091e-08 1.41906e-15 6.02624e-06 51 
2.64 -279.266 -1.36317e-05 1.97735e-10 4.59304e-20 6.3965e-06 50 
2.65 -280.023 4.05009e-06 1.74687e-11 3.58738e-22 6.37292e-06 49 
2.66 -280.785 -2.172e-06 5.04133e-12 3.00949e-23 6.55134e-06 48 
2.665 -281.167 -1.81535e-06 3.52875e-12 1.48084e-23 6.44596e-06 48 
2.67 -281.551 -2.48397e-07 6.60211e-14 5.17631e-27 6.39464e-06 48 
2.675 -281.936 -1.46392e-07 2.29563e-14 6.27342e-28 6.52015e-06 47 
2.68 -282.321 -2.69183e-08 7.75957e-16 7.15292e-31 6.30038e-06 47 
2.685 -282.708 -4.85679e-08 2.5383e-15 7.74885e-30 6.39069e-06 47 
2.69 -283.096 -1.73303e-08 3.22296e-16 1.24154e-31 6.40815e-06 46 
2.695 -283.484 -1.99735e-09 4.77564e-18 3.38548e-35 6.63313e-06 46 
2.7 -283.874 -4.85627e-09 2.60046e-17 8.87514e-34 6.6096e-06 45 
2.8 -291.838 1.18866e-10 6.42344e-20 4.02949e-38 7.12572e-06 39 
2.9 -300.062 2.69985e-13 5.38273e-25 1.67434e-48 6.81418e-06 34 
