tval energy MaxDim localEnergy 
0 -137.766 39 -2.94611 -2.94611 -2.94611 -2.90174 -2.90174 -2.90174 -2.89347 -2.89347 -2.89347 -2.89014 -2.89014 -2.89014 -2.88849 -2.88849 -2.88849 -2.88752 -2.88752 -2.88752 -2.88683 -2.88683 -2.88683 -2.88623 -2.88623 -2.88623 -2.88561 -2.88561 -2.88561 -2.88482 -2.88482 -2.88482 -2.8837 -2.8837 -2.8837 -2.88183 -2.88183 -2.88183 -2.87828 -2.87828 -2.87828 -2.8701 -2.8701 -2.8701 -2.84543 -2.84543 -2.84543 -2.61183 -2.61183 -2.61183 
0 -134.482 18 -2.82563 -2.82563 -2.82563 -2.80961 -2.80961 -2.80961 -2.80915 -2.80915 -2.80915 -2.8091 -2.8091 -2.8091 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80908 -2.80908 -2.80908 -2.80905 -2.80905 -2.80905 -2.80874 -2.80874 -2.80874 -2.80571 -2.80571 -2.80571 -2.67772 -2.67772 -2.67772 
0.01 -134.482 16 -2.82563 -2.82563 -2.82563 -2.80961 -2.80961 -2.80961 -2.80915 -2.80915 -2.80915 -2.8091 -2.8091 -2.8091 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80909 -2.80905 -2.80905 -2.80905 -2.80875 -2.80875 -2.80875 -2.80571 -2.80572 -2.80571 -2.67772 -2.67772 -2.67772 
0.02 -134.483 16 -2.82566 -2.82566 -2.82566 -2.80963 -2.80963 -2.80962 -2.80917 -2.80917 -2.80916 -2.80912 -2.80912 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.80911 -2.8091 -2.80911 -2.8091 -2.80907 -2.80907 -2.80906 -2.80876 -2.80876 -2.80876 -2.80573 -2.80573 -2.80573 -2.67772 -2.67773 -2.67772 
0.03 -134.485 15 -2.82571 -2.82571 -2.82571 -2.80966 -2.80967 -2.80966 -2.8092 -2.80921 -2.8092 -2.80915 -2.80916 -2.80915 -2.80915 -2.80915 -2.80914 -2.80915 -2.80915 -2.80914 -2.80915 -2.80915 -2.80914 -2.80914 -2.80915 -2.80914 -2.80914 -2.80915 -2.80914 -2.80914 -2.80915 -2.80914 -2.80914 -2.80915 -2.80914 -2.80914 -2.80915 -2.80913 -2.8091 -2.80911 -2.8091 -2.8088 -2.8088 -2.80879 -2.80577 -2.80577 -2.80576 -2.67772 -2.67775 -2.67771 
0.04 -134.488 15 -2.8258 -2.8258 -2.82579 -2.80973 -2.80974 -2.80972 -2.80927 -2.80928 -2.80926 -2.80922 -2.80923 -2.80921 -2.80921 -2.80922 -2.8092 -2.80921 -2.80922 -2.8092 -2.80921 -2.80922 -2.8092 -2.80921 -2.80922 -2.8092 -2.80921 -2.80922 -2.8092 -2.80921 -2.80922 -2.8092 -2.80921 -2.80922 -2.8092 -2.8092 -2.80921 -2.80919 -2.80916 -2.80918 -2.80916 -2.80886 -2.80887 -2.80885 -2.80583 -2.80584 -2.80582 -2.67772 -2.67776 -2.67771 
0.05 -134.492 15 -2.82595 -2.82593 -2.82593 -2.80982 -2.80984 -2.80981 -2.80936 -2.80938 -2.80935 -2.80931 -2.80933 -2.8093 -2.80931 -2.80932 -2.80929 -2.80931 -2.80932 -2.80929 -2.80931 -2.80932 -2.80929 -2.80931 -2.80932 -2.80929 -2.80931 -2.80932 -2.80929 -2.80931 -2.80932 -2.80929 -2.80931 -2.80932 -2.80929 -2.8093 -2.80932 -2.80929 -2.80926 -2.80928 -2.80925 -2.80896 -2.80898 -2.80894 -2.80593 -2.80594 -2.80591 -2.67772 -2.67779 -2.6777 
0.06 -134.499 15 -2.82615 -2.82613 -2.82613 -2.80996 -2.80999 -2.80994 -2.8095 -2.80952 -2.80948 -2.80945 -2.80948 -2.80943 -2.80945 -2.80947 -2.80942 -2.80944 -2.80947 -2.80942 -2.80944 -2.80947 -2.80942 -2.80944 -2.80947 -2.80942 -2.80944 -2.80947 -2.80942 -2.80944 -2.80947 -2.80942 -2.80944 -2.80947 -2.80942 -2.80944 -2.80946 -2.80942 -2.8094 -2.80942 -2.80938 -2.8091 -2.80912 -2.80907 -2.80606 -2.80609 -2.80604 -2.67772 -2.67782 -2.67769 
0.07 -134.507 15 -2.82641 -2.82639 -2.82638 -2.81014 -2.81018 -2.81012 -2.80968 -2.80971 -2.80965 -2.80963 -2.80966 -2.80961 -2.80963 -2.80966 -2.8096 -2.80963 -2.80966 -2.8096 -2.80963 -2.80966 -2.8096 -2.80963 -2.80966 -2.8096 -2.80963 -2.80966 -2.8096 -2.80963 -2.80966 -2.8096 -2.80962 -2.80966 -2.8096 -2.80962 -2.80965 -2.80959 -2.80958 -2.80961 -2.80955 -2.80928 -2.80931 -2.80925 -2.80624 -2.80627 -2.80621 -2.67772 -2.67785 -2.67769 
0.08 -134.518 15 -2.82675 -2.82672 -2.82671 -2.81037 -2.81041 -2.81034 -2.80991 -2.80995 -2.80988 -2.80986 -2.8099 -2.80983 -2.80986 -2.8099 -2.80982 -2.80986 -2.80989 -2.80982 -2.80986 -2.80989 -2.80982 -2.80986 -2.80989 -2.80982 -2.80986 -2.80989 -2.80982 -2.80986 -2.80989 -2.80982 -2.80986 -2.80989 -2.80982 -2.80985 -2.80989 -2.80981 -2.80981 -2.80985 -2.80978 -2.80951 -2.80955 -2.80947 -2.80647 -2.80651 -2.80643 -2.67773 -2.67789 -2.67768 
