tval energy MaxDim localEnergy 
0 -198.713 18 -0.309661 -0.309661 -0.309661 -0.326758 -0.326758 -0.326758 -0.328549 -0.328549 -0.328549 -0.328766 -0.328766 -0.328766 -0.328795 -0.328795 -0.328795 -0.328799 -0.328799 -0.328799 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.3288 -0.328798 -0.328798 -0.328798 -0.328788 -0.328788 -0.328788 -0.328714 -0.328714 -0.328714 -0.328144 -0.328144 -0.328144 -0.322861 -0.322861 -0.322861 -0.161753 -0.161753 -0.161753 
0.1 -198.555 18 -0.277211 -0.277783 -0.270188 -0.287812 -0.28829 -0.280648 -0.288738 -0.289218 -0.281578 -0.288843 -0.289322 -0.281683 -0.288856 -0.289335 -0.281696 -0.288858 -0.289337 -0.281697 -0.288858 -0.289337 -0.281698 -0.288858 -0.289337 -0.281698 -0.288858 -0.289337 -0.281698 -0.288858 -0.289337 -0.281698 -0.288857 -0.289337 -0.281697 -0.288853 -0.289332 -0.281692 -0.288818 -0.289297 -0.281658 -0.288531 -0.289004 -0.281367 -0.28565 -0.286147 -0.278606 -0.15432 -0.154123 -0.147223 
0.2 -198.491 17 -0.274539 -0.275219 -0.266237 -0.282811 -0.2834 -0.274313 -0.283409 -0.284003 -0.274915 -0.283472 -0.284065 -0.274978 -0.28348 -0.284073 -0.274985 -0.283481 -0.284073 -0.274986 -0.283481 -0.284074 -0.274987 -0.283481 -0.284074 -0.274987 -0.283481 -0.284074 -0.274987 -0.283481 -0.284074 -0.274987 -0.28348 -0.284073 -0.274986 -0.283478 -0.284071 -0.274984 -0.283458 -0.28405 -0.274963 -0.283279 -0.283866 -0.274781 -0.281359 -0.282 -0.273044 -0.155249 -0.155025 -0.146906 
0.3 -198.498 16 -0.280548 -0.281279 -0.272119 -0.288256 -0.288895 -0.279603 -0.288722 -0.289368 -0.280073 -0.288767 -0.289413 -0.280118 -0.288772 -0.289418 -0.280123 -0.288773 -0.289418 -0.280123 -0.288773 -0.289418 -0.280124 -0.288773 -0.289418 -0.280124 -0.288773 -0.289418 -0.280124 -0.288773 -0.289418 -0.280124 -0.288773 -0.289418 -0.280123 -0.288771 -0.289416 -0.280122 -0.288757 -0.289402 -0.280108 -0.288625 -0.289266 -0.279973 -0.287075 -0.287788 -0.278639 -0.159005 -0.158768 -0.150554 
0.4 -198.525 16 -0.289755 -0.290536 -0.281447 -0.297747 -0.298429 -0.289196 -0.298176 -0.298867 -0.28963 -0.298214 -0.298905 -0.289668 -0.298218 -0.298909 -0.289672 -0.298219 -0.298909 -0.289672 -0.298219 -0.298909 -0.289672 -0.298219 -0.298909 -0.289672 -0.298219 -0.298909 -0.289672 -0.298219 -0.298909 -0.289672 -0.298219 -0.298909 -0.289672 -0.298217 -0.298908 -0.289671 -0.298206 -0.298896 -0.289659 -0.298092 -0.298778 -0.289543 -0.296609 -0.29738 -0.2883 -0.163961 -0.163708 -0.155636 
0.5 -198.551 16 -0.300592 -0.301431 -0.292466 -0.309337 -0.310065 -0.30095 -0.309788 -0.310527 -0.301407 -0.309826 -0.310564 -0.301444 -0.309829 -0.310568 -0.301448 -0.30983 -0.310568 -0.301448 -0.30983 -0.310568 -0.301448 -0.30983 -0.310568 -0.301448 -0.30983 -0.310568 -0.301448 -0.30983 -0.310568 -0.301448 -0.309829 -0.310568 -0.301448 -0.309828 -0.310567 -0.301447 -0.309818 -0.310556 -0.301437 -0.309703 -0.310439 -0.30132 -0.308107 -0.308934 -0.299982 -0.169613 -0.169338 -0.161466 
0.6 -198.565 16 -0.312613 -0.31352 -0.304687 -0.32243 -0.323211 -0.314225 -0.322947 -0.323741 -0.314749 -0.322989 -0.323783 -0.314791 -0.322993 -0.323787 -0.314795 -0.322994 -0.323787 -0.314796 -0.322994 -0.323787 -0.314796 -0.322994 -0.323787 -0.314796 -0.322994 -0.323787 -0.314796 -0.322994 -0.323787 -0.314796 -0.322994 -0.323787 -0.314795 -0.322992 -0.323786 -0.314794 -0.322981 -0.323774 -0.314783 -0.322852 -0.323642 -0.314652 -0.321014 -0.321899 -0.313088 -0.175818 -0.175516 -0.167859 
0.7 -198.562 16 -0.325738 -0.326721 -0.31802 -0.3369 -0.337739 -0.328883 -0.337525 -0.338379 -0.329516 -0.337576 -0.338431 -0.329568 -0.337581 -0.338435 -0.329572 -0.337581 -0.338436 -0.329573 -0.337581 -0.338436 -0.329573 -0.337582 -0.338436 -0.329573 -0.337582 -0.338436 -0.329573 -0.337581 -0.338436 -0.329573 -0.337581 -0.338435 -0.329573 -0.33758 -0.338434 -0.329571 -0.337567 -0.33842 -0.329558 -0.337408 -0.338258 -0.329398 -0.335218 -0.336165 -0.327495 -0.182556 -0.182223 -0.174789 
0.8 -198.537 17 -0.340023 -0.341091 -0.332517 -0.35281 -0.353715 -0.344984 -0.353587 -0.354508 -0.345771 -0.353654 -0.354575 -0.345838 -0.35366 -0.354581 -0.345844 -0.35366 -0.354582 -0.345845 -0.353661 -0.354582 -0.345845 -0.353661 -0.354582 -0.345845 -0.353661 -0.354582 -0.345845 -0.35366 -0.354582 -0.345845 -0.35366 -0.354582 -0.345845 -0.353659 -0.35458 -0.345843 -0.353641 -0.354562 -0.345825 -0.353437 -0.354354 -0.34562 -0.350777 -0.351792 -0.343262 -0.189861 -0.189494 -0.182287 
0.9 -198.484 18 -0.35559 -0.356755 -0.348303 -0.37032 -0.371296 -0.362688 -0.3713 -0.372296 -0.36368 -0.371391 -0.372387 -0.363771 -0.371399 -0.372396 -0.36378 -0.3714 -0.372396 -0.363781 -0.3714 -0.372397 -0.363781 -0.3714 -0.372397 -0.363781 -0.3714 -0.372397 -0.363781 -0.3714 -0.372397 -0.363781 -0.3714 -0.372396 -0.363781 -0.371397 -0.372394 -0.363778 -0.371372 -0.372368 -0.363753 -0.371103 -0.372093 -0.363482 -0.367839 -0.368926 -0.360533 -0.197793 -0.197387 -0.190412 
