Ly Lx dh h 
3 32 0.0025 2.800 
3 32 0.0025 2.900 
3 32 0.0025 3.000 
3 32 0.0025 3.100 
3 32 0.0025 3.200 
3 40 0.0250 2.000 
3 40 0.0250 2.100 
3 40 0.0250 2.200 
3 40 0.0250 2.300 
3 40 0.0250 2.400 
3 40 0.0250 2.500 
3 40 0.0250 2.531 
3 40 0.0250 2.541 
3 40 0.0250 2.551 
3 40 0.0250 2.561 
3 40 0.0250 2.571 
3 40 0.0250 2.581 
3 40 0.0250 2.591 
3 40 0.0250 2.600 
3 40 0.0250 2.601 
3 40 0.0250 2.611 
3 40 0.0250 2.621 
3 40 0.0250 2.631 
3 40 0.0250 2.641 
3 40 0.0250 2.651 
3 40 0.0250 2.661 
3 40 0.0250 2.671 
3 40 0.0250 2.681 
3 40 0.0250 2.700 
3 40 0.0250 2.800 
3 40 0.0250 2.900 
3 40 0.0250 3.000 
3 40 0.0250 3.100 
3 40 0.0250 3.200 
3 40 0.0025 2.000 
3 40 0.0025 2.100 
3 40 0.0025 2.200 
3 40 0.0025 2.300 
3 40 0.0025 2.400 
3 40 0.0025 2.500 
3 40 0.0025 2.531 
3 40 0.0025 2.541 
3 40 0.0025 2.551 
3 40 0.0025 2.561 
3 40 0.0025 2.571 
3 40 0.0025 2.581 
3 40 0.0025 2.591 
3 40 0.0025 2.600 
3 40 0.0025 2.601 
3 40 0.0025 2.611 
3 40 0.0025 2.621 
3 40 0.0025 2.631 
3 40 0.0025 2.641 
3 40 0.0025 2.651 
3 40 0.0025 2.661 
3 40 0.0025 2.671 
3 40 0.0025 2.681 
3 40 0.0025 2.700 
3 40 0.0025 2.800 
3 40 0.0025 2.900 
3 40 0.0025 3.000 
3 40 0.0025 3.100 
3 40 0.0025 3.200 
3 48 0.0250 2.000 
3 48 0.0250 2.100 
3 48 0.0250 2.200 
3 48 0.0250 2.300 
3 48 0.0250 2.400 
3 48 0.0250 2.500 
3 48 0.0250 2.531 
3 48 0.0250 2.541 
3 48 0.0250 2.551 
3 48 0.0250 2.561 
3 48 0.0250 2.571 
3 48 0.0250 2.581 
3 48 0.0250 2.591 
3 48 0.0250 2.600 
3 48 0.0250 2.601 
3 48 0.0250 2.611 
3 48 0.0250 2.621 
3 48 0.0250 2.631 
3 48 0.0250 2.641 
3 48 0.0250 2.651 
3 48 0.0250 2.661 
3 48 0.0250 2.671 
3 48 0.0250 2.681 
3 48 0.0250 2.700 
3 48 0.0250 2.800 
3 48 0.0250 2.900 
3 48 0.0250 3.000 
3 48 0.0250 3.100 
3 48 0.0250 3.200 
3 48 0.0025 2.000 
3 48 0.0025 2.100 
3 48 0.0025 2.200 
3 48 0.0025 2.300 
3 48 0.0025 2.400 
3 48 0.0025 2.500 
3 48 0.0025 2.531 
3 48 0.0025 2.541 
3 48 0.0025 2.551 
3 48 0.0025 2.561 
3 48 0.0025 2.571 
3 48 0.0025 2.581 
3 48 0.0025 2.591 
3 48 0.0025 2.600 
3 48 0.0025 2.601 
3 48 0.0025 2.611 
3 48 0.0025 2.621 
3 48 0.0025 2.631 
3 48 0.0025 2.641 
3 48 0.0025 2.651 
3 48 0.0025 2.661 
3 48 0.0025 2.671 
3 48 0.0025 2.681 
3 48 0.0025 2.700 
3 48 0.0025 2.800 
3 48 0.0025 2.900 
3 48 0.0025 3.000 
3 48 0.0025 3.100 
3 48 0.0025 3.200 
3 56 0.0250 2.000 
3 56 0.0250 2.100 
3 56 0.0250 2.200 
3 56 0.0250 2.300 
3 56 0.0250 2.400 
3 56 0.0250 2.500 
3 56 0.0250 2.531 
3 56 0.0250 2.541 
3 56 0.0250 2.551 
3 56 0.0250 2.561 
3 56 0.0250 2.571 
3 56 0.0250 2.581 
3 56 0.0250 2.591 
3 56 0.0250 2.600 
3 56 0.0250 2.601 
3 56 0.0250 2.611 
3 56 0.0250 2.621 
3 56 0.0250 2.631 
3 56 0.0250 2.641 
3 56 0.0250 2.651 
3 56 0.0250 2.661 
3 56 0.0250 2.671 
3 56 0.0250 2.681 
3 56 0.0250 2.700 
3 56 0.0250 2.800 
3 56 0.0250 2.900 
3 56 0.0250 3.000 
3 56 0.0250 3.100 
3 56 0.0250 3.200 
3 56 0.0025 2.000 
3 56 0.0025 2.100 
3 56 0.0025 2.200 
3 56 0.0025 2.300 
3 56 0.0025 2.400 
3 56 0.0025 2.500 
3 56 0.0025 2.531 
3 56 0.0025 2.541 
3 56 0.0025 2.551 
3 56 0.0025 2.561 
3 56 0.0025 2.571 
3 56 0.0025 2.581 
3 56 0.0025 2.591 
3 56 0.0025 2.600 
3 56 0.0025 2.601 
3 56 0.0025 2.611 
3 56 0.0025 2.621 
3 56 0.0025 2.631 
3 56 0.0025 2.641 
3 56 0.0025 2.651 
3 56 0.0025 2.661 
3 56 0.0025 2.671 
3 56 0.0025 2.681 
3 56 0.0025 2.700 
3 56 0.0025 2.800 
3 56 0.0025 2.900 
3 56 0.0025 3.000 
3 56 0.0025 3.100 
3 56 0.0025 3.200 
3 64 0.0250 2.000 
3 64 0.0250 2.100 
3 64 0.0250 2.200 
3 64 0.0250 2.300 
3 64 0.0250 2.400 
3 64 0.0250 2.500 
3 64 0.0250 2.531 
3 64 0.0250 2.541 
3 64 0.0250 2.551 
3 64 0.0250 2.561 
3 64 0.0250 2.571 
3 64 0.0250 2.581 
3 64 0.0250 2.591 
3 64 0.0250 2.600 
3 64 0.0250 2.601 
3 64 0.0250 2.611 
3 64 0.0250 2.621 
3 64 0.0250 2.631 
3 64 0.0250 2.641 
3 64 0.0250 2.651 
3 64 0.0250 2.661 
3 64 0.0250 2.671 
3 64 0.0250 2.681 
3 64 0.0250 2.700 
3 64 0.0250 2.800 
3 64 0.0250 2.900 
3 64 0.0250 3.000 
3 64 0.0250 3.100 
3 64 0.0250 3.200 
3 64 0.0025 2.000 
3 64 0.0025 2.100 
3 64 0.0025 2.200 
3 64 0.0025 2.300 
3 64 0.0025 2.400 
3 64 0.0025 2.500 
3 64 0.0025 2.531 
3 64 0.0025 2.541 
3 64 0.0025 2.551 
3 64 0.0025 2.561 
3 64 0.0025 2.571 
3 64 0.0025 2.581 
3 64 0.0025 2.591 
3 64 0.0025 2.600 
3 64 0.0025 2.601 
3 64 0.0025 2.611 
3 64 0.0025 2.621 
3 64 0.0025 2.631 
3 64 0.0025 2.641 
3 64 0.0025 2.651 
3 64 0.0025 2.661 
3 64 0.0025 2.671 
3 64 0.0025 2.681 
3 64 0.0025 2.700 
3 64 0.0025 2.800 
3 64 0.0025 2.900 
3 64 0.0025 3.000 
3 64 0.0025 3.100 
3 64 0.0025 3.200 
5 8 0.0250 2.000 
5 8 0.0250 2.100 
5 8 0.0250 2.200 
5 8 0.0250 2.300 
5 8 0.0250 2.400 
5 8 0.0250 2.500 
5 8 0.0250 2.600 
5 8 0.0250 2.700 
5 8 0.0250 2.765 
5 8 0.0250 2.775 
5 8 0.0250 2.785 
5 8 0.0250 2.795 
5 8 0.0250 2.800 
5 8 0.0250 2.805 
5 8 0.0250 2.815 
5 8 0.0250 2.825 
5 8 0.0250 2.835 
5 8 0.0250 2.845 
5 8 0.0250 2.855 
5 8 0.0250 2.865 
5 8 0.0250 2.875 
5 8 0.0250 2.885 
5 8 0.0250 2.895 
5 8 0.0250 2.900 
5 8 0.0250 2.905 
5 8 0.0250 2.915 
5 8 0.0250 3.000 
5 8 0.0250 3.100 
5 8 0.0250 3.200 
