t=0 enPsi MaxDimPsi enPhi MaxDimPhi Sz(x,y)Sz(Lx/2,0) 
0 -22.6305 11 -21.9735 11 -27.9405 0 -26.4047 0 -27.9187 0 -26.3823 0 -27.9172 0 -26.381 0 -28.0298 0 -26.1481 0 -28.0298 0 -26.3809 0 -27.9167 0 -26.3813 0 -27.915 0 -26.3811 0 -27.915 0 -26.3811 0 -27.915 0 -26.3811 0 -27.915 0 -26.3811 0 -27.915 0 -26.3811 0 -27.915 0 -26.3811 0 -27.915 0 -26.3811 0 -27.9149 0 -26.3806 0 -27.914 0 -26.3774 0 -27.8914 0 -26.3556 0 
t enPhi MaxDimPhi Sz(x,y)Sz(Lx/2,0) 
2.75 -21.9735 13 -10.2291 26.0006 -9.6669 24.5715 -10.2217 25.9794 -9.66142 24.5496 -10.2286 25.9867 -9.66162 24.5637 -10.1113 26.0099 -9.84469 24.4413 -10.1112 26.0098 -9.66166 24.5636 -10.2283 25.9864 -9.66105 24.5486 -10.2203 25.976 -9.65823 24.5495 -10.2198 25.9769 -9.65823 24.5496 -10.2198 25.977 -9.65822 24.5496 -10.2198 25.977 -9.65822 24.5496 -10.2198 25.977 -9.65822 24.5496 -10.2198 25.977 -9.65822 24.5496 -10.2198 25.977 -9.65821 24.5496 -10.2197 25.9769 -9.65804 24.5491 -10.2194 25.9761 -9.65687 24.5462 -10.2111 25.955 -9.64889 24.5259 
3 -21.9735 14 21.4688 17.8817 20.2887 16.899 21.4512 17.8688 20.2715 16.8879 21.4624 17.8711 20.2861 16.8816 21.4381 17.7523 20.2393 17.095 21.438 17.7523 20.286 16.8817 21.4621 17.8707 20.2706 16.8873 21.4484 17.8664 20.2705 16.8838 21.4492 17.8655 20.2707 16.8838 21.4493 17.8655 20.2707 16.8838 21.4493 17.8655 20.2707 16.8838 21.4493 17.8655 20.2707 16.8838 21.4493 17.8655 20.2707 16.8838 21.4493 17.8655 20.2707 16.8838 21.4492 17.8654 20.2703 16.8835 21.4485 17.8648 20.2679 16.8814 21.4312 17.8504 20.2511 16.8675 
3.25 -21.9735 15 23.7226 -14.7616 22.4188 -13.9502 23.7055 -14.7495 22.4033 -13.9398 23.7021 -14.7635 22.3904 -13.9522 23.6005 -14.6946 22.6042 -13.9863 23.6004 -14.6944 22.3904 -13.9522 23.7015 -14.7633 22.4025 -13.9391 23.7024 -14.7477 22.3987 -13.9377 23.701 -14.7482 22.3986 -13.9379 23.701 -14.7483 22.3986 -13.9379 23.701 -14.7483 22.3986 -13.9379 23.701 -14.7483 22.3986 -13.9379 23.701 -14.7483 22.3986 -13.9379 23.7009 -14.7483 22.3986 -13.9379 23.7009 -14.7482 22.3982 -13.9376 23.7001 -14.7478 22.3955 -13.9359 23.6809 -14.7358 22.377 -13.9244 
3.5 -21.9735 15 -6.55869 -27.1598 -6.19825 -25.6671 -6.55349 -27.1404 -6.19602 -25.6486 -6.56847 -27.1306 -6.20354 -25.6303 -6.46484 -27.0623 -6.31227 -25.8152 -6.4647 -27.0623 -6.20359 -25.6303 -6.56837 -27.1299 -6.19565 -25.6477 -6.55274 -27.1368 -6.19259 -25.6441 -6.55281 -27.135 -6.19283 -25.644 -6.55291 -27.135 -6.19284 -25.644 -6.55291 -27.135 -6.19284 -25.644 -6.55291 -27.135 -6.19285 -25.644 -6.55291 -27.135 -6.19284 -25.644 -6.55291 -27.135 -6.19284 -25.6439 -6.55289 -27.1349 -6.19273 -25.6435 -6.55268 -27.134 -6.19198 -25.6404 -6.54738 -27.112 -6.18686 -25.6192 
3.75 -21.9735 15 -27.845 -2.30878 -26.3147 -2.18174 -27.8254 -2.30638 -26.2947 -2.17525 -27.8095 -2.2927 -26.2734 -2.17473 -27.7856 -2.41564 -26.4048 -2.00763 -27.7856 -2.41576 -26.2734 -2.17461 -27.8087 -2.29271 -26.2939 -2.17528 -27.8216 -2.30595 -26.2912 -2.17995 -27.8196 -2.30654 -26.2909 -2.17971 -27.8196 -2.30643 -26.2909 -2.17969 -27.8196 -2.30642 -26.2909 -2.17969 -27.8196 -2.30642 -26.2909 -2.17969 -27.8196 -2.30642 -26.2909 -2.17969 -27.8195 -2.30642 -26.2909 -2.17969 -27.8195 -2.30641 -26.2904 -2.17965 -27.8186 -2.30634 -26.2873 -2.17938 -27.796 -2.30447 -26.2655 -2.17758 
4 -21.9735 15 -10.9423 25.7089 -10.3406 24.2961 -10.9324 25.691 -10.3259 24.2762 -10.9224 25.6701 -10.3335 24.2551 -11.0463 25.6949 -10.1318 24.3161 -11.0464 25.695 -10.3333 24.2551 -10.9223 25.6694 -10.3256 24.2755 -10.9308 25.6874 -10.3316 24.2745 -10.9322 25.6855 -10.3314 24.274 -10.9321 25.6854 -10.3314 24.274 -10.9321 25.6854 -10.3314 24.274 -10.9321 25.6854 -10.3314 24.274 -10.9321 25.6854 -10.3314 24.274 -10.9321 25.6853 -10.3314 24.274 -10.932 25.6853 -10.3312 24.2735 -10.9317 25.6844 -10.3299 24.2706 -10.9228 25.6637 -10.3214 24.2505 
4.25 -21.9735 15 20.968 18.4672 19.8158 17.4517 20.9534 18.4504 19.7974 17.4302 20.9296 18.4463 19.7802 17.4455 21.0003 18.5527 19.7639 17.2374 21.0005 18.5528 19.7801 17.4453 20.929 18.4462 19.797 17.4296 20.9504 18.4479 19.7982 17.4363 20.9488 18.4501 19.7976 17.4363 20.9486 18.45 19.7975 17.4362 20.9486 18.45 19.7975 17.4362 20.9486 18.45 19.7975 17.4362 20.9486 18.45 19.7975 17.4362 20.9486 18.45 19.7975 17.4362 20.9485 18.45 19.7972 17.4359 20.9479 18.4494 19.7948 17.4338 20.9309 18.4344 19.7784 17.4194 
4.5 -21.9735 15 24.1209 -14.1025 22.7944 -13.3276 24.0989 -14.0925 22.7686 -13.3123 24.1022 -14.0688 22.7898 -13.3019 24.1751 -14.1758 22.6034 -13.2119 24.175 -14.176 22.7896 -13.3018 24.1021 -14.0684 22.7676 -13.3121 24.0956 -14.0904 22.7742 -13.3159 24.0986 -14.0895 22.7744 -13.3151 24.0986 -14.0893 22.7744 -13.3151 24.0986 -14.0893 22.7744 -13.3151 24.0986 -14.0893 22.7744 -13.3151 24.0986 -14.0893 22.7744 -13.3151 24.0985 -14.0893 22.7744 -13.3151 24.0985 -14.0892 22.774 -13.3148 24.0977 -14.0888 22.7712 -13.3132 24.0782 -14.0774 22.7524 -13.3022 
4.75 -21.9735 15 -5.80813 -27.3306 -5.48897 -25.8273 -5.80357 -27.3054 -5.47779 -25.8003 -5.78319 -27.3167 -5.47652 -25.8246 -5.91172 -27.3446 -5.32609 -25.6847 -5.9119 -27.3446 -5.47635 -25.8243 -5.78305 -27.3166 -5.47792 -25.799 -5.80245 -27.3018 -5.48435 -25.8045 -5.80264 -27.3053 -5.48357 -25.805 -5.80236 -27.3053 -5.48352 -25.805 -5.80235 -27.3053 -5.48352 -25.805 -5.80235 -27.3053 -5.48352 -25.805 -5.80235 -27.3053 -5.48352 -25.805 -5.80235 -27.3053 -5.48351 -25.8049 -5.80233 -27.3052 -5.48342 -25.8045 -5.80214 -27.3044 -5.48275 -25.8013 -5.79744 -27.2822 -5.47822 -25.78 
5 -21.9735 15 -27.7709 -3.07465 -26.2433 -2.9059 -27.7452 -3.07367 -26.2182 -2.91199 -27.7638 -3.08741 -26.2422 -2.90339 -27.7416 -2.95537 -26.1673 -3.09297 -27.7414 -2.95519 -26.242 -2.9036 -27.7637 -3.08725 -26.2168 -2.9116 -27.7417 -3.07367 -26.22 -2.9029 -27.7453 -3.07215 -26.2209 -2.9036 -27.7454 -3.07247 -26.2209 -2.90366 -27.7454 -3.07249 -26.2209 -2.90367 -27.7454 -3.07249 -26.2209 -2.90367 -27.7454 -3.07249 -26.2209 -2.90367 -27.7454 -3.07249 -26.2208 -2.90366 -27.7453 -3.07248 -26.2204 -2.90361 -27.7444 -3.07238 -26.2172 -2.90326 -27.722 -3.0699 -26.1955 -2.90086 
