hval energy mag mag2 mag4 var maxBondDim 
2.3 -513.862 0.753111 0.569311 0.327759 7.75995e-06 23 
2.4 -526.282 -0.710899 0.50843 0.262958 1.15369e-05 26 
2.5 -539.416 -0.650277 0.42751 0.188245 1.26884e-05 30 
2.6 -553.364 0.307102 0.0969967 0.0101212 0.000505583 79 
2.62 -556.272 -0.0946178 0.00929182 9.50579e-05 0.000241429 77 
2.64 -559.227 0.00677495 4.82392e-05 2.64326e-09 3.37594e-05 80 
2.66 -562.226 2.02639e-06 4.36743e-12 2.22887e-23 1.39701e-05 58 
2.68 -565.268 -2.01996e-07 4.373e-14 2.27123e-27 1.37651e-05 55 
2.7 -568.347 -1.56971e-09 6.13262e-18 7.71941e-35 1.43154e-05 53 
2.8 -584.186 -8.15329e-11 5.04981e-20 8.84133e-39 1.54007e-05 40 
