hval energy mag mag2 mag4 var maxBondDim 
2.52 -134.81 -0.000461396 2.20737e-07 5.40942e-14 2.59332e-06 40 
2.54 -135.536 0.000177607 3.28525e-08 1.21237e-15 2.67408e-06 39 
2.56 -136.271 -1.39041e-05 2.02947e-10 4.7354e-20 2.89658e-06 38 
2.58 -137.015 -1.20626e-05 1.53983e-10 2.78316e-20 2.81445e-06 38 
2.62 -138.526 2.36947e-07 5.95886e-14 4.1725e-27 2.87564e-06 38 
2.64 -139.294 4.75558e-08 2.40536e-15 6.82779e-30 2.90417e-06 37 
2.68 -140.85 -3.73817e-09 1.49214e-17 2.66939e-34 2.88146e-06 36 
