hval energy mag mag2 mag4 var maxBondDim 
2.5 -404.296 -0.640782 0.416441 0.18024 1.01157e-05 32 
2.6 -414.811 -0.460276 0.219258 0.0526522 0.00468423 48 
2.7 -426.104 -0.0958641 0.0106123 0.000161568 0.0175103 51 
2.8 -438.012 5.25342e-06 7.11138e-11 1.17191e-20 1.65183e-05 41 
2.82 -440.445 3.53059e-05 1.48917e-09 3.60456e-18 2.05135e-05 42 
2.84 -442.894 3.23059e-05 1.49295e-09 4.34995e-18 1.75235e-05 39 
2.86 -445.356 -1.74437e-07 8.37265e-14 3.29442e-26 1.0449e-05 36 
2.88 -447.831 -1.6219e-05 4.29431e-10 4.41121e-19 1.49955e-05 38 
2.89 -449.073 6.49547e-07 5.34538e-13 5.04281e-25 1.01663e-05 36 
2.9 -450.319 9.49693e-09 9.13671e-16 1.31378e-30 1.0397e-05 34 
3 -462.921 1.07299e-09 4.35933e-18 1.08297e-34 1.11817e-05 31 
3.1 -475.749 2.04743e-10 2.4734e-19 2.70583e-37 1.17369e-05 28 
