time energy SvN bondDim localEnergy 
0 -4.72785 0.054049 2 4 6 7 7 7 7 7 7 7 7 7 6 4 2 -0.327493 -0.309385 -0.312143 -0.31165 -0.311854 -0.311826 -0.311833 -0.311837 -0.311834 -0.311822 -0.311878 -0.31154 -0.31605 -0.303674 -0.353032 
0.25 -4.73652 0.0644744 2 4 5 7 7 6 7 7 6 7 7 6 6 4 2 -0.327494 -0.309386 -0.312152 -0.311657 -0.311888 -0.311386 -0.314753 -0.315489 -0.314815 -0.311327 -0.311876 -0.31154 -0.316051 -0.303676 -0.353033 
0.5 -4.76441 0.140833 2 4 5 6 7 7 8 7 6 8 8 6 6 4 2 -0.327497 -0.309396 -0.312221 -0.311737 -0.311724 -0.311062 -0.325014 -0.323917 -0.325618 -0.31052 -0.311413 -0.311529 -0.316051 -0.303677 -0.353034 
0.75 -4.79216 0.256985 2 4 5 7 7 8 8 8 7 8 8 7 6 4 2 -0.327506 -0.309457 -0.312361 -0.31165 -0.311907 -0.317668 -0.327095 -0.334656 -0.328384 -0.31687 -0.31084 -0.311024 -0.316034 -0.303672 -0.353034 
1 -4.82003 0.376818 2 4 6 7 9 10 10 9 10 10 9 7 7 4 2 -0.327568 -0.309585 -0.312308 -0.311858 -0.31902 -0.316874 -0.330106 -0.344971 -0.331591 -0.31609 -0.317491 -0.310371 -0.315513 -0.30365 -0.353029 
1.25 -4.84782 0.486439 2 4 6 9 10 10 10 10 10 10 10 9 7 4 2 -0.3277 -0.309523 -0.312535 -0.318944 -0.318296 -0.317505 -0.333174 -0.354274 -0.334822 -0.316429 -0.316729 -0.316954 -0.314779 -0.303156 -0.353005 
1.5 -4.87565 0.587179 2 4 8 10 10 10 10 11 10 10 11 10 8 4 2 -0.327632 -0.309755 -0.319586 -0.31822 -0.31848 -0.318589 -0.336447 -0.362061 -0.338292 -0.317482 -0.316744 -0.316228 -0.321056 -0.302651 -0.352424 
1.75 -4.90387 0.685059 2 4 8 10 10 11 13 12 12 10 11 10 8 4 2 -0.327721 -0.31701 -0.318694 -0.31832 -0.3186 -0.32022 -0.339996 -0.368002 -0.342046 -0.319372 -0.317041 -0.316243 -0.31968 -0.309774 -0.35115 
2 -4.92851 0.782836 2 4 8 10 10 13 13 14 13 13 12 11 8 4 2 -0.332663 -0.316643 -0.318654 -0.318194 -0.318848 -0.322484 -0.343793 -0.371995 -0.345984 -0.32205 -0.31772 -0.316362 -0.31895 -0.309947 -0.354222 
2.25 -4.92865 0.879061 2 4 8 13 12 15 16 16 16 15 13 12 8 4 2 -0.325056 -0.316483 -0.318401 -0.317968 -0.319448 -0.325402 -0.347693 -0.374164 -0.349922 -0.325377 -0.318789 -0.31659 -0.318326 -0.310163 -0.34486 
2.5 -4.92865 0.971797 2 4 8 13 15 17 19 18 17 18 15 13 8 4 2 -0.318245 -0.315368 -0.317887 -0.317821 -0.320557 -0.328881 -0.351469 -0.374826 -0.353646 -0.329183 -0.320241 -0.316939 -0.317677 -0.309672 -0.336235 
2.75 -4.92865 1.0615 2 4 8 13 17 20 21 21 19 20 19 14 8 4 2 -0.312054 -0.313665 -0.317089 -0.317878 -0.322213 -0.332726 -0.35488 -0.374418 -0.356953 -0.333278 -0.322096 -0.317436 -0.31676 -0.308904 -0.328296 
3 -4.92865 1.15032 2 4 8 16 19 22 24 25 23 22 20 16 8 4 2 -0.306262 -0.31178 -0.316026 -0.318183 -0.324352 -0.336703 -0.357744 -0.373409 -0.359691 -0.337457 -0.324368 -0.318094 -0.315479 -0.308201 -0.320898 
3.25 -4.92865 1.23966 2 4 8 16 22 25 26 27 26 25 24 16 8 4 2 -0.300716 -0.310023 -0.314776 -0.318709 -0.326852 -0.340594 -0.359977 -0.372215 -0.361783 -0.341506 -0.327014 -0.318887 -0.313929 -0.307735 -0.31393 
3.5 -4.92865 1.32927 2 4 8 16 24 30 29 31 30 28 26 16 8 4 2 -0.29536 -0.308525 -0.313501 -0.319406 -0.32957 -0.344225 -0.361592 -0.37113 -0.363237 -0.345233 -0.329912 -0.319742 -0.312371 -0.307484 -0.307358 
3.75 -4.92865 1.41848 2 4 8 16 26 33 33 36 33 32 26 16 8 4 2 -0.290231 -0.307225 -0.312435 -0.320227 -0.33235 -0.347458 -0.362672 -0.370307 -0.364139 -0.348493 -0.33288 -0.320583 -0.311161 -0.307255 -0.301231 
4 -4.92865 1.50742 2 4 8 16 27 37 38 40 38 36 29 16 8 4 2 -0.28543 -0.305937 -0.311835 -0.321149 -0.335026 -0.350177 -0.363346 -0.369769 -0.364627 -0.3512 -0.335712 -0.321374 -0.310638 -0.306778 -0.295648 
4.25 -4.92865 1.5968 2 4 8 16 28 41 44 45 44 42 30 16 8 4 2 -0.281092 -0.304444 -0.311908 -0.322183 -0.337427 -0.352297 -0.363753 -0.369452 -0.364856 -0.353314 -0.338214 -0.322158 -0.311019 -0.305797 -0.290732 
4.5 -4.92865 1.68681 2 4 8 16 29 45 49 51 49 45 31 16 8 4 2 -0.277357 -0.302587 -0.312725 -0.323367 -0.339401 -0.35378 -0.364023 -0.369255 -0.364961 -0.35482 -0.340231 -0.323058 -0.312323 -0.304171 -0.28659 
