h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -49.962 0.831328 -5.45697e-12 160 -47.08 -0.606373 1.28694e-10 80 
3.01 -50.1145 0.833974 -1.04592e-11 160 -47.2117 -0.602353 5.95719e-11 80 
3.02 -50.2671 0.836568 -4.09273e-12 80 -47.3435 -0.598365 -1.54614e-11 160 
3.03 -50.4198 0.83911 -7.27596e-12 80 -47.4754 -0.59441 5.86624e-11 80 
3.04 -50.5725 0.841602 -3.63798e-12 80 -47.6073 -0.590486 1.12323e-09 80 
3.05 -50.7252 0.844045 -4.09273e-12 80 -47.7393 -0.586595 1.91903e-10 80 
3.06 -50.8781 0.846441 -1.04592e-11 80 -47.8714 -0.582735 1.93722e-10 80 
3.07 -51.0309 0.84879 -2.72848e-12 80 -48.0035 -0.578907 1.32331e-10 80 
3.08 -51.1839 0.851094 0 160 -48.1356 -0.57511 7.59428e-11 80 
3.09 -51.3369 0.853353 -1.04592e-11 80 -48.2679 -0.571345 4.63842e-11 80 
3.1 -51.4899 0.855569 -1.13687e-11 80 -48.4001 -0.567611 3.75167e-10 80 
