h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -62.5006 -0.729202 -1.13687e-11 80 -59.6863 0.737123 1.8698e-07 80 
3.01 -62.6911 -0.733393 -2.59206e-11 80 -59.8558 0.732679 9.45838e-08 80 
3.02 -62.8816 -0.737504 -1.59162e-11 80 -60.0254 0.728253 1.28313e-07 80 
3.03 -63.0722 -0.741536 -2.27374e-12 80 -60.195 0.723855 6.10767e-08 80 
3.04 -63.2629 -0.745489 -1.54614e-11 160 -60.3647 0.71948 5.40585e-08 80 
3.05 -63.4536 -0.749367 -1.31877e-11 80 -60.5346 0.715131 1.96693e-07 160 
3.06 -63.6444 -0.753171 -2.63753e-11 160 -60.7044 0.710803 3.34346e-07 80 
3.07 -63.8353 -0.756903 -2.68301e-11 80 -60.8744 0.706501 2.2408e-07 80 
3.08 -64.0263 -0.760564 -2.36469e-11 80 -61.0445 0.702225 2.72476e-08 160 
3.09 -64.2174 -0.764156 -2.36469e-11 80 -61.2146 0.697975 1.6497e-06 80 
3.1 -64.4085 -0.76768 -1.18234e-11 80 -61.3848 0.69375 4.21018e-07 80 
