h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -25.1148 0.933919 3.41061e-13 128 -22.3929 -0.399967 -1.36424e-12 128 
3.01 -25.1902 0.935105 9.09495e-13 128 -22.4477 -0.39719 -3.41061e-13 128 
3.02 -25.2656 0.936265 -6.82121e-13 128 -22.5025 -0.394438 5.11591e-13 128 
3.03 -25.341 0.937398 1.81899e-12 128 -22.5573 -0.391712 1.02318e-12 128 
3.04 -25.4165 0.938505 -2.27374e-13 128 -22.6122 -0.389011 2.27374e-13 128 
3.05 -25.4921 0.939587 5.68434e-13 128 -22.6672 -0.386335 3.41061e-13 128 
3.06 -25.5676 0.940645 -1.13687e-12 128 -22.7221 -0.383684 -5.68434e-13 128 
3.07 -25.6432 0.941679 3.41061e-13 128 -22.7771 -0.381057 1.13687e-13 128 
3.08 -25.7189 0.94269 -6.82121e-13 128 -22.8322 -0.378454 1.02318e-12 128 
3.09 -25.7946 0.943679 6.82121e-13 128 -22.8872 -0.375876 -1.13687e-13 128 
3.1 -25.8703 0.944646 -9.09495e-13 128 -22.9424 -0.373321 -3.41061e-13 128 
