h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -57.5088 -0.98348 1.01338e-06 24 -55.9939 -0.0743252 7.45446e-07 28 
3.01 -57.6712 -0.980474 1.07473e-06 24 -56.135 -0.0880557 7.4192e-07 28 
3.02 -57.8339 -0.977282 1.05468e-06 24 -56.2762 -0.10159 7.92237e-07 28 
3.03 -57.9967 -0.973915 1.08169e-06 23 -56.4176 -0.114928 7.44011e-07 28 
3.04 -58.1597 -0.970387 1.05453e-06 23 -56.5591 -0.128071 7.85046e-07 28 
3.05 -58.3229 -0.966707 1.00168e-06 24 -56.7008 -0.141022 7.81676e-07 28 
3.06 -58.4863 -0.962888 1.05847e-06 23 -56.8427 -0.15378 7.77886e-07 28 
3.07 -58.6498 -0.958938 1.00579e-06 23 -56.9848 -0.166347 7.74101e-07 28 
3.08 -58.8136 -0.954869 1.14457e-06 23 -57.127 -0.178726 7.2605e-07 28 
3.09 -58.9775 -0.950687 9.87019e-07 23 -57.2693 -0.190917 7.66043e-07 28 
3.1 -59.1416 -0.946404 1.03046e-06 23 -57.4119 -0.202921 7.62194e-07 28 
