h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -37.4234 -0.911053 -3.18323e-12 160 -34.4175 0.45101 4.54747e-13 160 
3.01 -37.538 -0.912453 -3.63798e-12 80 -34.5116 0.447887 2.72848e-12 128 
3.02 -37.6526 -0.913826 1.59162e-12 128 -34.6057 0.444793 4.54747e-13 80 
3.03 -37.7673 -0.915171 2.27374e-12 80 -34.6999 0.441729 0 80 
3.04 -37.8821 -0.916489 -5.45697e-12 80 -34.794 0.438693 5.00222e-12 80 
3.05 -37.9969 -0.917782 -1.81899e-12 80 -34.8883 0.435687 -2.27374e-12 80 
3.06 -38.1117 -0.919049 -3.63798e-12 128 -34.9826 0.432709 -1.36424e-12 128 
3.07 -38.2265 -0.920291 -2.27374e-12 80 -35.0769 0.429759 -6.82121e-13 80 
3.08 -38.3414 -0.921509 -2.95586e-12 128 -35.1713 0.426837 9.09495e-13 128 
3.09 -38.4564 -0.922703 2.27374e-13 80 -35.2657 0.423943 -3.41061e-12 160 
3.1 -38.5714 -0.923874 -1.81899e-12 128 -35.3601 0.421076 -2.50111e-12 160 
