h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -115.841 0.963481 6.05684e-06 175 -114.908 -0.586198 6.43996e-06 200 
3.01 -116.158 0.975406 6.06396e-06 174 -115.201 -0.548185 6.45576e-06 200 
3.02 -116.475 0.984773 6.14843e-06 173 -115.493 -0.509735 6.45314e-06 200 
3.03 -116.793 0.991755 6.20841e-06 172 -115.787 -0.470976 6.49875e-06 200 
3.04 -117.112 0.996516 6.23865e-06 171 -116.081 -0.432023 6.46096e-06 200 
3.05 -117.431 0.999214 6.39952e-06 169 -116.376 -0.392984 6.54038e-06 200 
3.06 -117.751 0.999995 6.45488e-06 170 -116.671 -0.353958 6.56037e-06 200 
3.07 -118.071 0.999002 6.48894e-06 168 -116.966 -0.315037 6.55832e-06 200 
3.08 -118.392 0.996367 6.42686e-06 168 -117.263 -0.276303 6.62397e-06 200 
3.09 -118.713 0.992216 6.54205e-06 167 -117.559 -0.237832 6.60285e-06 200 
3.1 -119.035 0.986665 6.55371e-06 167 -117.856 -0.199692 6.51685e-06 200 
