hval maxBondDimGS maxBondDimExc var0 var1 overlap energy gap 
2.85 215 216 0.00698557 0.00794993 0.00017206 -784.022 0.000104307 
2.95 339 393 0.00730646 0.00740418 4.11229e-09 -805.742 0.130513 
3.05 262 396 0.00773776 0.00779453 -4.04549e-10 -828.543 0.478333 
3.15 222 378 0.00835085 0.00816666 -1.64612e-10 -851.889 0.835649 
