h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -86.8971 -0.253617 3.70831e-06 160 -85.936 -0.867294 3.37908e-06 172 
3.01 -87.1341 -0.216255 3.6897e-06 154 -86.1496 -0.88316 3.38807e-06 172 
3.02 -87.3716 -0.179571 3.66503e-06 154 -86.3636 -0.897846 3.39216e-06 172 
3.03 -87.6095 -0.143604 3.8125e-06 155 -86.578 -0.911384 3.42335e-06 172 
3.04 -87.8479 -0.108387 3.72033e-06 154 -86.7928 -0.923808 3.43128e-06 172 
3.05 -88.0867 -0.0739423 3.81472e-06 153 -87.008 -0.935152 3.46823e-06 171 
3.06 -88.326 -0.040289 4.06965e-06 151 -87.2236 -0.94545 3.47137e-06 172 
3.07 -88.5657 -0.00743938 3.93454e-06 151 -87.4395 -0.954737 3.49747e-06 171 
3.08 -88.8058 0.0245987 3.94321e-06 151 -87.6559 -0.963049 3.49631e-06 171 
3.09 -89.0463 0.0558217 4.04616e-06 151 -87.8726 -0.97042 3.46921e-06 171 
3.1 -89.2872 0.0862296 4.10656e-06 151 -88.0897 -0.976884 3.46495e-06 171 
