h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -255.755 0.832716 9.39454e-06 62 -255 -0.897007 9.88413e-06 89 
3.01 -256.468 0.888099 9.13335e-06 62 -255.687 -0.844668 9.87484e-06 89 
3.02 -257.183 0.931676 9.18211e-06 61 -256.375 -0.784318 9.8669e-06 89 
3.03 -257.899 0.963978 9.2164e-06 61 -257.064 -0.717233 9.95029e-06 89 
3.04 -258.616 0.98563 9.31382e-06 60 -257.754 -0.644635 9.89312e-06 89 
3.05 -259.334 0.997324 9.2336e-06 60 -258.446 -0.567679 9.92591e-06 88 
3.06 -260.054 0.999788 9.33405e-06 60 -259.139 -0.487445 9.93644e-06 88 
3.07 -260.775 0.993775 9.43437e-06 59 -259.833 -0.404931 1.00392e-05 88 
3.08 -261.497 0.980038 9.35749e-06 59 -260.528 -0.321046 8.88442e-06 90 
3.09 -262.22 0.959323 9.67593e-06 58 -261.225 -0.236626 1.00814e-05 87 
3.1 -262.944 0.93236 9.53791e-06 58 -261.922 -0.152405 9.66642e-06 87 
