h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -101.977 -0.778258 3.13595e-06 53 -100.866 -0.377955 3.06446e-06 65 
3.01 -102.266 -0.756265 3.05798e-06 53 -101.131 -0.406598 3.04713e-06 65 
3.02 -102.555 -0.73396 3.04938e-06 53 -101.397 -0.434369 3.03523e-06 65 
3.03 -102.845 -0.711412 3.23102e-06 52 -101.663 -0.461272 3.02001e-06 65 
3.04 -103.135 -0.688684 3.23709e-06 52 -101.929 -0.487313 3.01468e-06 65 
3.05 -103.426 -0.665831 3.21183e-06 52 -102.196 -0.512498 2.98636e-06 65 
3.06 -103.716 -0.642904 3.39709e-06 51 -102.463 -0.536836 2.97965e-06 65 
3.07 -104.008 -0.61995 3.42019e-06 51 -102.73 -0.560338 3.02425e-06 65 
3.08 -104.299 -0.597009 3.42601e-06 51 -102.998 -0.583015 3.02802e-06 65 
3.09 -104.591 -0.57412 3.35419e-06 51 -103.266 -0.604879 3.01725e-06 65 
3.1 -104.884 -0.551314 3.3276e-06 50 -103.534 -0.625944 3.06073e-06 65 
