h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -159.286 0.662407 7.31741e-06 107 -158.422 0.365853 7.61929e-06 132 
3.01 -159.738 0.614966 7.39857e-06 106 -158.847 0.418295 7.61393e-06 132 
3.02 -160.189 0.56681 7.35936e-06 105 -159.273 0.468307 7.6171e-06 132 
3.03 -160.642 0.518244 7.2669e-06 105 -159.699 0.51585 7.69865e-06 132 
3.04 -161.096 0.469533 7.51518e-06 104 -160.126 0.560899 7.69601e-06 132 
3.05 -161.55 0.420907 7.38651e-06 104 -160.554 0.603449 7.73284e-06 131 
3.06 -162.005 0.372563 7.4504e-06 103 -160.983 0.643507 7.69953e-06 131 
3.07 -162.46 0.32467 7.55775e-06 102 -161.412 0.681092 7.67491e-06 131 
3.08 -162.916 0.277371 7.49568e-06 102 -161.842 0.716237 7.68875e-06 131 
3.09 -163.373 0.230785 7.78948e-06 101 -162.273 0.74898 7.73567e-06 131 
3.1 -163.83 0.185014 7.85359e-06 101 -162.704 0.779369 7.76928e-06 130 
