hval maxBondDimGS maxBondDimExc var0 var1 overlap energy gap 
1 8 8 1.6758e-07 1.67434e-07 5.98758e-33 -212.004 -1.36424e-12 
1.1 9 9 5.01612e-07 5.01605e-07 8.63648e-28 -216.717 -3.97904e-13 
1.2 10 10 1.492e-06 1.50741e-06 -4.68817e-23 -221.919 2.05978e-09 
1.3 11 11 1.00673e-06 1.00703e-06 -1.66943e-18 -227.625 1.3074e-12 
1.4 12 12 1.70079e-06 1.70007e-06 -3.06683e-14 -233.855 -2.50111e-12 
1.5 13 13 2.17339e-06 2.17382e-06 1.77739e-10 -240.633 4.26326e-12 
1.6 16 16 1.49364e-06 1.79309e-06 5.08188e-07 -247.995 2.31004e-08 
1.7 24 23 2.36045e-06 2.39166e-06 -3.88778e-06 -255.996 2.53581e-06 
1.8 38 41 2.88298e-06 2.85795e-06 4.04257e-07 -264.76 0.0239457 
1.9 28 42 2.67556e-06 3.04436e-06 -1.32817e-11 -274.466 0.199729 
2 22 38 2.77246e-06 3.10056e-06 1.18516e-10 -284.834 0.429485 
