h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -144.382 -0.017694 3.19376e-06 29 -143.301 0.967018 3.51397e-06 39 
3.01 -144.783 -0.0673809 3.20217e-06 29 -143.678 0.978211 3.59311e-06 39 
3.02 -145.184 -0.115823 3.11233e-06 29 -144.055 0.986971 3.40537e-06 39 
3.03 -145.586 -0.162953 3.37322e-06 29 -144.434 0.993404 3.44855e-06 39 
3.04 -145.988 -0.208719 3.335e-06 29 -144.812 0.997615 3.51046e-06 39 
3.05 -146.391 -0.253077 3.51882e-06 28 -145.192 0.999711 3.42318e-06 39 
3.06 -146.795 -0.295996 3.40615e-06 28 -145.572 0.999796 3.53144e-06 39 
3.07 -147.199 -0.337452 3.20894e-06 28 -145.952 0.997977 3.43948e-06 39 
3.08 -147.604 -0.377431 3.58364e-06 28 -146.333 0.994355 3.51481e-06 39 
3.09 -148.009 -0.415926 3.65446e-06 28 -146.715 0.989032 3.42701e-06 39 
3.1 -148.415 -0.452934 3.62246e-06 27 -147.097 0.982107 3.40319e-06 39 
