h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -24.8848 0.966217 -4.54747e-13 128 -21.6139 -0.272018 -1.13687e-13 128 
3.01 -24.9615 0.966741 -2.27374e-13 128 -21.6704 -0.270162 1.13687e-12 128 
3.02 -25.0382 0.967256 3.41061e-13 128 -21.7269 -0.268324 -2.27374e-13 128 
3.03 -25.1149 0.96776 9.09495e-13 128 -21.7834 -0.266504 -7.95808e-13 128 
3.04 -25.1917 0.968254 4.54747e-13 128 -21.84 -0.264702 -1.13687e-12 128 
3.05 -25.2685 0.968739 -1.13687e-13 128 -21.8966 -0.262918 3.97904e-13 128 
3.06 -25.3453 0.969215 1.25056e-12 128 -21.9532 -0.261151 3.97904e-13 128 
3.07 -25.4222 0.969681 -5.68434e-13 128 -22.0099 -0.259401 5.68434e-14 128 
3.08 -25.499 0.970138 -9.09495e-13 128 -22.0666 -0.257667 -5.68434e-13 128 
3.09 -25.5759 0.970587 3.41061e-13 128 -22.1233 -0.255951 -3.97904e-13 128 
3.1 -25.6528 0.971027 3.41061e-13 128 -22.18 -0.254251 -5.11591e-13 128 
