h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -57.9816 -0.966886 1.33348e-06 114 -56.9335 0.360585 1.39244e-06 114 
3.01 -58.1385 -0.973332 1.30206e-06 114 -57.0689 0.342527 1.39451e-06 114 
3.02 -58.2957 -0.978969 1.33475e-06 113 -57.2046 0.324574 1.39637e-06 114 
3.03 -58.4533 -0.98384 1.41228e-06 113 -57.3405 0.306735 1.39791e-06 114 
3.04 -58.6111 -0.987987 1.38129e-06 112 -57.4766 0.289019 1.39922e-06 114 
3.05 -58.7693 -0.991452 1.34771e-06 112 -57.613 0.271434 1.40027e-06 114 
3.06 -58.9278 -0.994273 1.38465e-06 111 -57.7496 0.253985 1.40107e-06 114 
3.07 -59.0866 -0.996488 1.39503e-06 111 -57.8865 0.23668 1.4016e-06 114 
3.08 -59.2457 -0.998134 1.37104e-06 111 -58.0236 0.219524 1.40191e-06 114 
3.09 -59.405 -0.999245 1.39916e-06 110 -58.1608 0.202523 1.40195e-06 114 
3.1 -59.5647 -0.999853 1.36381e-06 110 -58.2984 0.185682 1.4914e-06 114 
