h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -86.4665 0.128251 1.78077e-06 26 -85.199 -0.998745 1.78576e-06 34 
3.01 -86.7083 0.155047 1.77756e-06 26 -85.4185 -0.99968 1.81934e-06 34 
3.02 -86.9505 0.181192 1.73699e-06 26 -85.6384 -1 1.7797e-06 34 
3.03 -87.193 0.206693 1.96361e-06 26 -85.8585 -0.999732 1.74828e-06 34 
3.04 -87.4358 0.231552 1.94887e-06 26 -86.079 -0.998902 1.77041e-06 34 
3.05 -87.6789 0.255776 2.01258e-06 26 -86.2997 -0.997537 1.72756e-06 34 
3.06 -87.9224 0.279373 2.01539e-06 26 -86.5207 -0.995661 1.71704e-06 34 
3.07 -88.1661 0.30235 1.98897e-06 26 -86.7421 -0.993299 1.70613e-06 34 
3.08 -88.4102 0.324716 1.93517e-06 26 -86.9637 -0.990475 1.72847e-06 34 
3.09 -88.6545 0.346481 2.08644e-06 25 -87.1856 -0.98721 1.68357e-06 34 
3.1 -88.8992 0.367653 1.95953e-06 25 -87.4078 -0.983528 1.88201e-06 34 
