h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -204.495 0.634076 7.18392e-06 61 -203.686 0.403568 7.58001e-06 83 
3.01 -205.067 0.566968 7.19676e-06 61 -204.232 0.476083 7.6212e-06 82 
3.02 -205.64 0.49804 7.19893e-06 60 -204.779 0.54395 7.46768e-06 82 
3.03 -206.214 0.427977 7.0828e-06 60 -205.327 0.607007 7.39761e-06 82 
3.04 -206.789 0.35738 7.13732e-06 59 -205.875 0.665155 7.47509e-06 82 
3.05 -207.365 0.28678 7.23089e-06 59 -206.425 0.718347 7.54263e-06 81 
3.06 -207.941 0.216634 7.39261e-06 59 -206.976 0.766581 7.52178e-06 81 
3.07 -208.519 0.147339 7.60119e-06 58 -207.527 0.809899 7.47866e-06 81 
3.08 -209.098 0.079233 7.40407e-06 58 -208.08 0.848375 7.43848e-06 81 
3.09 -209.677 0.0126009 7.63928e-06 58 -208.633 0.882112 7.32136e-06 81 
3.1 -210.257 -0.0523184 7.63739e-06 57 -209.187 0.911239 7.78558e-06 80 
