h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -239.265 0.594723 1.20957e-05 116 -238.575 0.329052 1.25016e-05 152 
3.01 -239.938 0.505625 1.23032e-05 114 -239.22 0.422181 1.25905e-05 151 
3.02 -240.611 0.414347 1.21627e-05 113 -239.866 0.508819 1.25692e-05 151 
3.03 -241.287 0.322211 1.2006e-05 112 -240.514 0.588551 1.25907e-05 151 
3.04 -241.963 0.230336 1.22456e-05 112 -241.162 0.661101 1.27994e-05 150 
3.05 -242.641 0.139656 1.23211e-05 111 -241.812 0.726315 1.28099e-05 150 
3.06 -243.32 0.0509371 1.23169e-05 110 -242.463 0.784147 1.27444e-05 150 
3.07 -243.999 -0.035198 1.22873e-05 110 -243.115 0.834641 1.29099e-05 149 
3.08 -244.68 -0.118257 1.22507e-05 108 -243.768 0.877919 1.30417e-05 149 
3.09 -245.362 -0.197857 1.23443e-05 108 -244.422 0.914165 1.31651e-05 148 
3.1 -246.045 -0.273715 1.25452e-05 107 -245.077 0.943612 1.30657e-05 148 
