h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -115.424 0.997315 2.57793e-06 28 -114.276 -0.159582 2.56466e-06 37 
3.01 -115.746 0.993771 2.58891e-06 28 -114.574 -0.123463 2.51405e-06 37 
3.02 -116.067 0.988883 2.49361e-06 28 -114.873 -0.0877909 2.61545e-06 37 
3.03 -116.389 0.982746 2.51596e-06 28 -115.172 -0.0526053 2.54444e-06 37 
3.04 -116.712 0.975447 2.4923e-06 28 -115.471 -0.0179425 2.58547e-06 37 
3.05 -117.035 0.967073 2.58393e-06 28 -115.771 0.0161656 2.57852e-06 37 
3.06 -117.359 0.957703 2.61836e-06 27 -116.072 0.0496909 2.70016e-06 36 
3.07 -117.683 0.947414 2.77822e-06 27 -116.372 0.0826092 2.60798e-06 36 
3.08 -118.007 0.936278 2.67232e-06 27 -116.674 0.1149 2.68425e-06 36 
3.09 -118.332 0.924363 2.71489e-06 27 -116.975 0.146544 2.78949e-06 36 
3.1 -118.657 0.911735 2.81762e-06 27 -117.277 0.177528 2.78205e-06 36 
