h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -319.244 0.528041 1.7055e-05 121 -318.637 0.316595 1.7369e-05 168 
3.01 -320.138 0.392375 1.72118e-05 119 -319.502 0.452215 1.73341e-05 169 
3.02 -321.034 0.253436 1.71472e-05 118 -320.369 0.574531 1.74138e-05 168 
3.03 -321.931 0.11472 1.70883e-05 117 -321.238 0.68211 1.7444e-05 167 
3.04 -322.831 -0.0209041 1.73059e-05 116 -322.108 0.774065 1.75131e-05 167 
3.05 -323.732 -0.151146 1.71955e-05 114 -322.98 0.849985 1.76784e-05 167 
3.06 -324.635 -0.274229 1.71789e-05 113 -323.854 0.90986 1.76761e-05 166 
3.07 -325.539 -0.388831 1.70812e-05 112 -324.729 0.954013 1.80325e-05 165 
3.08 -326.445 -0.494017 1.70475e-05 111 -325.606 0.983028 1.79973e-05 165 
3.09 -327.352 -0.589183 1.73376e-05 110 -326.484 0.997697 1.81352e-05 164 
3.1 -328.261 -0.674 1.73475e-05 109 -327.364 0.998963 1.80679e-05 164 
