h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -50.1556 0.789903 2.14641e-10 80 -47.4939 -0.696589 3.07227e-09 80 
3.01 -50.3073 0.793306 2.04182e-10 80 -47.6241 -0.692019 3.04726e-09 80 
3.02 -50.459 0.796639 1.98725e-10 80 -47.7544 -0.68748 3.01407e-09 80 
3.03 -50.6108 0.799903 1.91903e-10 80 -47.8848 -0.682972 2.96313e-09 80 
3.04 -50.7626 0.803099 1.87811e-10 80 -48.0153 -0.678495 2.91766e-09 80 
3.05 -50.9145 0.80623 1.74623e-10 80 -48.1458 -0.674049 2.88173e-09 80 
3.06 -51.0665 0.809297 1.90994e-10 80 -48.2764 -0.669635 2.83762e-09 160 
3.07 -51.2185 0.812302 1.62345e-10 80 -48.4071 -0.665253 2.80716e-09 160 
3.08 -51.3706 0.815246 1.73259e-10 80 -48.5379 -0.660902 2.76395e-09 80 
3.09 -51.5228 0.818131 1.60981e-10 80 -48.6687 -0.656583 2.73985e-09 80 
3.1 -51.675 0.820958 1.46883e-10 80 -48.7996 -0.652296 2.68255e-09 80 
