h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -144.793 0.298422 8.81621e-06 189 -143.871 0.760174 1.60729e-05 200 
3.01 -145.19 0.24158 8.78586e-06 186 -144.243 0.797165 1.61094e-05 200 
3.02 -145.587 0.185447 9.02907e-06 185 -144.615 0.830714 1.61587e-05 200 
3.03 -145.985 0.130195 8.96486e-06 184 -144.988 0.860892 1.60925e-05 200 
3.04 -146.384 0.075973 8.89206e-06 183 -145.361 0.887785 1.62513e-05 200 
3.05 -146.783 0.0229053 9.18536e-06 182 -145.735 0.911486 1.62681e-05 200 
3.06 -147.183 -0.0289053 9.35441e-06 181 -146.11 0.9321 1.6211e-05 200 
3.07 -147.584 -0.0793744 9.20765e-06 180 -146.486 0.949736 1.62623e-05 200 
3.08 -147.985 -0.128434 9.48084e-06 179 -146.862 0.96451 1.61001e-05 200 
3.09 -148.387 -0.176031 9.41982e-06 177 -147.239 0.976541 1.60538e-05 200 
