h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -62.6934 -0.680469 2.65891e-09 80 -60.0332 0.805574 1.43639e-07 80 
3.01 -62.8829 -0.685488 2.53613e-09 80 -60.2013 0.800942 1.42181e-07 80 
3.02 -63.0726 -0.690408 2.46064e-09 80 -60.3695 0.796323 1.39555e-07 80 
3.03 -63.2623 -0.695231 2.3656e-09 80 -60.5378 0.791717 1.37723e-07 80 
3.04 -63.4522 -0.69996 2.31148e-09 80 -60.7062 0.787127 1.36368e-07 80 
3.05 -63.6421 -0.704596 2.22326e-09 80 -60.8747 0.782552 1.342e-07 80 
3.06 -63.8321 -0.709143 2.13004e-09 80 -61.0433 0.777993 1.32462e-07 80 
3.07 -64.0222 -0.713601 2.06182e-09 80 -61.212 0.773452 1.31136e-07 80 
3.08 -64.2123 -0.717973 1.97269e-09 80 -61.3808 0.768929 1.29778e-07 80 
3.09 -64.4026 -0.722261 1.91721e-09 80 -61.5497 0.764425 1.28091e-07 80 
3.1 -64.5929 -0.726467 1.83991e-09 80 -61.7187 0.759941 1.25702e-07 80 
