hval maxBondDimGS maxBondDimExc energy gap 
3 51 191 -973.305 1.71827 
2.9 82 220 -910.549 1.745 
2.8 91 212 -847.776 1.43568 
2.7 116 261 -785.275 1.25102 
2.6 144 266 -723.038 1.03695 
2.5 177 290 -661.228 0.805238 
2.4 235 354 -600.069 0.549048 
2.3 321 400 -540.024 0.261067 
2.2 289 400 -484.121 0.329056 
2.1 185 400 -437.999 1.15411 
