tval energy MaxDim
0 -1322.67 62
0.1 -1320.19 55
0.2 -1319.4 50
0.3 -1319.7 48
0.4 -1320.11 48
0.5 -1320.21 49
0.6 -1319.67 53
0.7 -1318.07 58
0.8 -1314.78 62
0.9 -1308.73 69
1 -1297.98 76
