hval gsEn excEn overlap var0 var1 
2 -67.9353 -65.9099 4.46751e-05 1.7985e-07 0.00320206 
1.9 -64.9498 -63.1313 -3.31734e-05 3.21785e-07 0.000522893 
1.8 -61.9896 -60.3668 -7.24239e-08 5.37834e-08 0.00366748 
1.7 -59.0596 -57.6385 2.98423e-05 3.57381e-08 0.000798714 
1.6 -56.1662 -54.9434 -3.4293e-06 1.7531e-08 0.000486639 
1.5 -53.3176 -52.293 -4.13716e-05 4.66848e-08 0.000570984 
1.4 -50.5252 -49.6981 -1.42495e-05 5.80699e-08 7.63184e-05 
1.3 -47.8046 -47.1729 -2.10834e-07 1.23565e-07 1.15608e-05 
1.2 -45.1789 -44.7391 -1.29975e-09 1.39265e-07 8.61269e-08 
1.1 -42.6842 -42.4285 -8.68154e-10 7.68741e-08 8.89299e-08 
1 -40.3843 -40.2877 9.03792e-10 7.52525e-08 6.09766e-08 
0.9 -38.3882 -38.3752 -4.00182e-05 3.68447e-05 3.13274e-06 
0.8 -36.7252 -36.7251 -1.41057e-05 4.78454e-06 4.12315e-07 
0.7 -35.3223 -35.3223 -4.64624e-07 3.93761e-08 3.2757e-08 
0.6 -34.1411 -34.1411 2.96681e-07 5.64728e-09 5.76279e-09 
0.5 -33.1628 -33.1628 3.68688e-10 4.85095e-08 4.91625e-08 
0.4 -32.3751 -32.3751 -2.02089e-13 8.36803e-09 8.36417e-09 
0.3 -31.7697 -31.7697 -1.79026e-17 9.70886e-10 9.76684e-10 
0.2 -31.3409 -31.3409 -2.88129e-24 1.66084e-08 1.66054e-08 
0.1 -31.0851 -31.0851 3.61548e-34 4.22801e-10 4.14957e-10 
0 -31 -31 0 0 0 
