hval gsEn excEn overlap var0 var1 
2 -136.002 -133.982 -0.000169859 4.07614e-07 0.00266189 
1.9 -130.039 -128.197 3.25312e-06 7.33344e-07 0.00255827 
1.8 -124.127 -122.512 -7.89112e-07 5.82004e-08 0.00255072 
1.7 -118.277 -116.87 -1.96796e-06 4.6377e-08 0.00036571 
1.6 -112.502 -111.295 1.28129e-06 4.40177e-08 0.000311656 
1.5 -106.819 -105.806 -4.55082e-05 1.19406e-07 0.00274642 
1.4 -101.251 -100.442 -3.39521e-06 1.37123e-07 0.000418691 
1.3 -95.831 -95.2205 4.30132e-06 3.10229e-07 0.00159912 
1.2 -90.6067 -90.1947 7.12686e-08 3.68973e-07 4.10006e-05 
1.1 -85.6558 -85.4369 5.00098e-06 2.05006e-07 0.000449192 
1 -81.126 -81.0773 2.82092e-07 1.59673e-07 2.09331e-07 
0.9 -77.2942 -77.2941 -1.1147e-05 3.54191e-06 5.84861e-07 
0.8 -74.0951 -74.0951 2.58982e-06 4.3874e-08 6.3661e-08 
0.7 -71.3808 -71.3808 1.93022e-10 5.45479e-08 5.63623e-08 
0.6 -69.0927 -69.0927 8.22196e-15 6.3319e-09 6.32008e-09 
0.5 -67.1962 -67.1962 -1.17627e-20 1.21447e-07 1.22715e-07 
0.4 -65.6684 -65.6684 4.59789e-27 1.21845e-08 1.22054e-08 
0.3 -64.4938 -64.4938 -3.86777e-35 9.84983e-10 1.06229e-09 
0.2 -63.6617 -63.6617 -8.26979e-49 3.76531e-08 3.76872e-08 
0.1 -63.1651 -63.1651 2.3116e-68 5.33873e-10 4.25189e-10 
0 -63 -61 2.03756e-73 0 0 
