method L v h quenchtau 
1 48 3.4 1.0 0.05 
1 48 3.4 1.0 0.10 
1 48 3.4 1.0 0.20 
1 48 3.4 1.0 0.40 
1 48 3.4 2.0 0.05 
1 48 3.4 2.0 0.10 
1 48 3.4 2.0 0.20 
1 48 3.4 2.0 0.40 
1 48 3.4 3.0 0.05 
1 48 3.4 3.0 0.10 
1 48 3.4 3.0 0.20 
1 48 3.4 3.0 0.40 
1 48 3.6 0.5 0.05 
1 48 3.6 0.5 0.10 
1 48 3.6 0.5 0.20 
1 48 3.6 0.5 0.40 
1 48 3.6 1.0 0.05 
1 48 3.6 1.0 0.10 
1 48 3.6 1.0 0.20 
1 48 3.6 1.0 0.40 
1 48 3.6 2.0 0.05 
1 48 3.6 2.0 0.10 
1 48 3.6 2.0 0.20 
1 48 3.6 2.0 0.40 
1 48 3.6 3.0 0.05 
1 48 3.6 3.0 0.10 
1 48 3.6 3.0 0.20 
1 48 3.6 3.0 0.40 
1 48 3.8 0.5 0.05 
1 48 3.8 0.5 0.10 
1 48 3.8 0.5 0.20 
1 48 3.8 0.5 0.40 
1 48 3.8 1.0 0.05 
1 48 3.8 1.0 0.10 
1 48 3.8 1.0 0.20 
1 48 3.8 1.0 0.40 
1 48 3.8 2.0 0.05 
1 48 3.8 2.0 0.10 
1 48 3.8 2.0 0.20 
1 48 3.8 2.0 0.40 
1 48 3.8 3.0 0.05 
1 48 3.8 3.0 0.10 
1 48 3.8 3.0 0.20 
1 48 3.8 3.0 0.40 
1 48 4.0 0.5 0.05 
1 48 4.0 0.5 0.10 
1 48 4.0 0.5 0.20 
1 48 4.0 0.5 0.40 
1 48 4.0 1.0 0.05 
1 48 4.0 1.0 0.10 
1 48 4.0 1.0 0.20 
1 48 4.0 1.0 0.40 
1 48 4.0 2.0 0.05 
1 48 4.0 2.0 0.10 
1 48 4.0 2.0 0.20 
1 48 4.0 2.0 0.40 
1 48 4.0 3.0 0.05 
1 48 4.0 3.0 0.10 
1 48 4.0 3.0 0.20 
1 48 4.0 3.0 0.40 
1 48 4.0 0.5 0.05 
1 48 4.0 0.5 0.10 
1 48 4.0 0.5 0.20 
1 48 4.0 0.5 0.40 
1 48 4.0 1.0 0.05 
1 48 4.0 1.0 0.10 
1 48 4.0 1.0 0.20 
1 48 4.0 1.0 0.40 
1 48 4.0 2.0 0.05 
1 48 4.0 2.0 0.10 
1 48 4.0 2.0 0.20 
1 48 4.0 2.0 0.40 
1 48 4.0 3.0 0.05 
1 48 4.0 3.0 0.10 
1 48 4.0 3.0 0.20 
1 48 4.0 3.0 0.40 
1 48 5.0 0.5 0.05 
1 48 5.0 0.5 0.10 
1 48 5.0 0.5 0.20 
1 48 5.0 0.5 0.40 
1 48 5.0 1.0 0.05 
1 48 5.0 1.0 0.10 
1 48 5.0 1.0 0.20 
1 48 5.0 1.0 0.40 
1 48 5.0 2.0 0.05 
1 48 5.0 2.0 0.10 
1 48 5.0 2.0 0.20 
1 48 5.0 2.0 0.40 
1 48 5.0 3.0 0.05 
1 48 5.0 3.0 0.10 
1 48 5.0 3.0 0.20 
1 48 5.0 3.0 0.40 
1 48 6.0 0.5 0.05 
1 48 6.0 0.5 0.10 
1 48 6.0 0.5 0.20 
1 48 6.0 0.5 0.40 
1 48 6.0 1.0 0.05 
1 48 6.0 1.0 0.10 
1 48 6.0 1.0 0.20 
1 48 6.0 1.0 0.40 
1 48 6.0 2.0 0.05 
1 48 6.0 2.0 0.10 
1 48 6.0 2.0 0.20 
1 48 6.0 2.0 0.40 
1 48 6.0 3.0 0.05 
1 48 6.0 3.0 0.10 
1 48 6.0 3.0 0.20 
1 48 6.0 3.0 0.40 
1 48 7.0 0.5 0.05 
1 48 7.0 0.5 0.10 
1 48 7.0 0.5 0.20 
1 48 7.0 0.5 0.40 
1 48 7.0 1.0 0.05 
1 48 7.0 1.0 0.10 
1 48 7.0 1.0 0.20 
1 48 7.0 1.0 0.40 
1 48 7.0 2.0 0.05 
1 48 7.0 2.0 0.10 
1 48 7.0 2.0 0.20 
1 48 7.0 2.0 0.40 
1 48 7.0 3.0 0.05 
1 48 7.0 3.0 0.10 
1 48 7.0 3.0 0.20 
1 48 7.0 3.0 0.40 
1 48 8.0 0.5 0.05 
1 48 8.0 0.5 0.10 
1 48 8.0 0.5 0.20 
1 48 8.0 0.5 0.40 
1 48 8.0 1.0 0.05 
1 48 8.0 1.0 0.10 
1 48 8.0 1.0 0.20 
1 48 8.0 1.0 0.40 
1 48 8.0 2.0 0.05 
1 48 8.0 2.0 0.10 
1 48 8.0 2.0 0.20 
1 48 8.0 2.0 0.40 
1 48 8.0 3.0 0.05 
1 48 8.0 3.0 0.10 
1 48 8.0 3.0 0.20 
1 48 8.0 3.0 0.40 
1 64 1.6 0.5 0.05 
1 64 1.6 0.5 0.10 
1 64 1.6 0.5 0.20 
1 64 1.6 0.5 0.40 
1 64 1.6 1.0 0.05 
1 64 1.6 1.0 0.10 
1 64 1.6 1.0 0.20 
1 64 1.6 1.0 0.40 
1 64 1.6 2.0 0.05 
1 64 1.6 2.0 0.10 
1 64 1.6 2.0 0.20 
1 64 1.6 2.0 0.40 
1 64 1.6 3.0 0.05 
1 64 1.6 3.0 0.10 
1 64 1.6 3.0 0.20 
1 64 1.6 3.0 0.40 
1 64 1.7 0.5 0.05 
1 64 1.7 0.5 0.10 
1 64 1.7 0.5 0.20 
1 64 1.7 0.5 0.40 
1 64 1.7 1.0 0.05 
1 64 1.7 1.0 0.10 
1 64 1.7 1.0 0.20 
1 64 1.7 1.0 0.40 
1 64 1.7 2.0 0.05 
1 64 1.7 2.0 0.10 
1 64 1.7 2.0 0.20 
1 64 1.7 2.0 0.40 
1 64 1.7 3.0 0.05 
1 64 1.7 3.0 0.10 
1 64 1.7 3.0 0.20 
1 64 1.7 3.0 0.40 
1 64 1.8 0.5 0.05 
1 64 1.8 0.5 0.10 
1 64 1.8 0.5 0.20 
1 64 1.8 0.5 0.40 
1 64 1.8 1.0 0.05 
1 64 1.8 1.0 0.10 
1 64 1.8 1.0 0.20 
1 64 1.8 1.0 0.40 
1 64 1.8 2.0 0.05 
1 64 1.8 2.0 0.10 
1 64 1.8 2.0 0.20 
1 64 1.8 2.0 0.40 
1 64 1.8 3.0 0.05 
1 64 1.8 3.0 0.10 
1 64 1.8 3.0 0.20 
1 64 1.8 3.0 0.40 
1 64 1.9 0.5 0.05 
1 64 1.9 0.5 0.10 
1 64 1.9 0.5 0.20 
1 64 1.9 0.5 0.40 
1 64 1.9 1.0 0.05 
1 64 1.9 1.0 0.10 
1 64 1.9 1.0 0.20 
1 64 1.9 1.0 0.40 
1 64 1.9 2.0 0.05 
1 64 1.9 2.0 0.10 
1 64 1.9 2.0 0.20 
1 64 1.9 2.0 0.40 
1 64 1.9 3.0 0.05 
1 64 1.9 3.0 0.10 
1 64 1.9 3.0 0.20 
1 64 1.9 3.0 0.40 
1 64 2.0 0.5 0.05 
1 64 2.0 0.5 0.10 
1 64 2.0 0.5 0.20 
1 64 2.0 0.5 0.40 
1 64 2.0 1.0 0.05 
1 64 2.0 1.0 0.10 
1 64 2.0 1.0 0.20 
1 64 2.0 1.0 0.40 
1 64 2.0 2.0 0.05 
1 64 2.0 2.0 0.10 
1 64 2.0 2.0 0.20 
1 64 2.0 2.0 0.40 
1 64 2.0 3.0 0.05 
1 64 2.0 3.0 0.10 
1 64 2.0 3.0 0.20 
1 64 2.0 3.0 0.40 
1 64 2.2 0.5 0.05 
1 64 2.2 0.5 0.10 
1 64 2.2 0.5 0.20 
1 64 2.2 0.5 0.40 
1 64 2.2 1.0 0.05 
1 64 2.2 1.0 0.10 
1 64 2.2 1.0 0.20 
1 64 2.2 1.0 0.40 
1 64 2.2 2.0 0.05 
1 64 2.2 2.0 0.10 
1 64 2.2 2.0 0.20 
1 64 2.2 2.0 0.40 
1 64 2.2 3.0 0.05 
1 64 2.2 3.0 0.10 
1 64 2.2 3.0 0.20 
1 64 2.2 3.0 0.40 
1 64 2.4 0.5 0.05 
1 64 2.4 0.5 0.10 
1 64 2.4 0.5 0.20 
1 64 2.4 0.5 0.40 
1 64 2.4 1.0 0.05 
1 64 2.4 1.0 0.10 
1 64 2.4 1.0 0.20 
1 64 2.4 1.0 0.40 
1 64 2.4 2.0 0.05 
1 64 2.4 2.0 0.10 
1 64 2.4 2.0 0.20 
1 64 2.4 2.0 0.40 
1 64 2.4 3.0 0.05 
1 64 2.4 3.0 0.10 
1 64 2.4 3.0 0.20 
1 64 2.4 3.0 0.40 
1 64 2.6 0.5 0.05 
1 64 2.6 0.5 0.10 
1 64 2.6 0.5 0.20 
1 64 2.6 0.5 0.40 
1 64 2.6 1.0 0.05 
1 64 2.6 1.0 0.10 
1 64 2.6 1.0 0.20 
1 64 2.6 1.0 0.40 
1 64 2.6 2.0 0.05 
1 64 2.6 2.0 0.10 
1 64 2.6 2.0 0.20 
1 64 2.6 2.0 0.40 
1 64 2.6 3.0 0.05 
1 64 2.6 3.0 0.10 
1 64 2.6 3.0 0.20 
1 64 2.6 3.0 0.40 
1 64 2.8 0.5 0.05 
1 64 2.8 0.5 0.10 
1 64 2.8 0.5 0.20 
1 64 2.8 0.5 0.40 
1 64 2.8 1.0 0.05 
1 64 2.8 1.0 0.10 
1 64 2.8 1.0 0.20 
1 64 2.8 1.0 0.40 
1 64 2.8 2.0 0.05 
1 64 2.8 2.0 0.10 
1 64 2.8 2.0 0.20 
1 64 2.8 2.0 0.40 
1 64 2.8 3.0 0.05 
1 64 2.8 3.0 0.10 
1 64 2.8 3.0 0.20 
1 64 2.8 3.0 0.40 
1 64 3.0 0.5 0.05 
1 64 3.0 0.5 0.10 
1 64 3.0 0.5 0.20 
1 64 3.0 0.5 0.40 
1 64 3.0 1.0 0.05 
1 64 3.0 1.0 0.10 
1 64 3.0 1.0 0.20 
1 64 3.0 1.0 0.40 
1 64 3.0 2.0 0.05 
1 64 3.0 2.0 0.10 
1 64 3.0 2.0 0.20 
1 64 3.0 2.0 0.40 
1 64 3.0 3.0 0.05 
1 64 3.0 3.0 0.10 
1 64 3.0 3.0 0.20 
1 64 3.0 3.0 0.40 
1 64 3.2 0.5 0.05 
1 64 3.2 0.5 0.10 
1 64 3.2 0.5 0.20 
1 64 3.2 0.5 0.40 
1 64 3.2 1.0 0.05 
1 64 3.2 1.0 0.10 
1 64 3.2 1.0 0.20 
1 64 3.2 1.0 0.40 
1 64 3.2 2.0 0.05 
1 64 3.2 2.0 0.10 
1 64 3.2 2.0 0.20 
1 64 3.2 2.0 0.40 
1 64 3.2 3.0 0.05 
1 64 3.2 3.0 0.10 
1 64 3.2 3.0 0.20 
1 64 3.2 3.0 0.40 
1 64 3.4 0.5 0.05 
1 64 3.4 0.5 0.10 
1 64 3.4 0.5 0.20 
1 64 3.4 0.5 0.40 
1 64 3.4 1.0 0.05 
1 64 3.4 1.0 0.10 
1 64 3.4 1.0 0.20 
1 64 3.4 1.0 0.40 
1 64 3.4 2.0 0.05 
1 64 3.4 2.0 0.10 
1 64 3.4 2.0 0.20 
1 64 3.4 2.0 0.40 
1 64 3.4 3.0 0.05 
1 64 3.4 3.0 0.10 
1 64 3.4 3.0 0.20 
1 64 3.4 3.0 0.40 
1 64 3.6 0.5 0.05 
1 64 3.6 0.5 0.10 
1 64 3.6 0.5 0.20 
1 64 3.6 0.5 0.40 
1 64 3.6 1.0 0.05 
1 64 3.6 1.0 0.10 
1 64 3.6 1.0 0.20 
1 64 3.6 1.0 0.40 
1 64 3.6 2.0 0.05 
1 64 3.6 2.0 0.10 
1 64 3.6 2.0 0.20 
1 64 3.6 2.0 0.40 
1 64 3.6 3.0 0.05 
1 64 3.6 3.0 0.10 
1 64 3.6 3.0 0.20 
1 64 3.6 3.0 0.40 
1 64 3.8 0.5 0.05 
1 64 3.8 0.5 0.10 
1 64 3.8 0.5 0.20 
1 64 3.8 0.5 0.40 
1 64 3.8 1.0 0.05 
1 64 3.8 1.0 0.10 
1 64 3.8 1.0 0.20 
1 64 3.8 1.0 0.40 
1 64 3.8 2.0 0.05 
1 64 3.8 2.0 0.10 
1 64 3.8 2.0 0.20 
1 64 3.8 2.0 0.40 
1 64 3.8 3.0 0.05 
1 64 3.8 3.0 0.10 
1 64 3.8 3.0 0.20 
1 64 3.8 3.0 0.40 
1 64 4.0 0.5 0.05 
1 64 4.0 0.5 0.10 
1 64 4.0 0.5 0.20 
1 64 4.0 0.5 0.40 
1 64 4.0 1.0 0.05 
1 64 4.0 1.0 0.10 
1 64 4.0 1.0 0.20 
1 64 4.0 1.0 0.40 
1 64 4.0 2.0 0.05 
1 64 4.0 2.0 0.10 
1 64 4.0 2.0 0.20 
1 64 4.0 2.0 0.40 
1 64 4.0 3.0 0.05 
1 64 4.0 3.0 0.10 
1 64 4.0 3.0 0.20 
1 64 4.0 3.0 0.40 
1 64 4.0 0.5 0.05 
1 64 4.0 0.5 0.10 
1 64 4.0 0.5 0.20 
1 64 4.0 0.5 0.40 
1 64 4.0 1.0 0.05 
1 64 4.0 1.0 0.10 
1 64 4.0 1.0 0.20 
1 64 4.0 1.0 0.40 
1 64 4.0 2.0 0.05 
1 64 4.0 2.0 0.10 
1 64 4.0 2.0 0.20 
1 64 4.0 2.0 0.40 
1 64 4.0 3.0 0.05 
1 64 4.0 3.0 0.10 
1 64 4.0 3.0 0.20 
1 64 4.0 3.0 0.40 
1 64 5.0 0.5 0.05 
1 64 5.0 0.5 0.10 
1 64 5.0 0.5 0.20 
1 64 5.0 0.5 0.40 
1 64 5.0 1.0 0.05 
1 64 5.0 1.0 0.10 
1 64 5.0 1.0 0.20 
1 64 5.0 1.0 0.40 
1 64 5.0 2.0 0.05 
1 64 5.0 2.0 0.10 
1 64 5.0 2.0 0.20 
1 64 5.0 2.0 0.40 
1 64 5.0 3.0 0.05 
1 64 5.0 3.0 0.10 
1 64 5.0 3.0 0.20 
1 64 5.0 3.0 0.40 
1 64 6.0 0.5 0.05 
1 64 6.0 0.5 0.10 
1 64 6.0 0.5 0.20 
1 64 6.0 0.5 0.40 
1 64 6.0 1.0 0.05 
1 64 6.0 1.0 0.10 
1 64 6.0 1.0 0.20 
1 64 6.0 1.0 0.40 
1 64 6.0 2.0 0.05 
1 64 6.0 2.0 0.10 
1 64 6.0 2.0 0.20 
1 64 6.0 2.0 0.40 
1 64 6.0 3.0 0.05 
1 64 6.0 3.0 0.10 
1 64 6.0 3.0 0.20 
1 64 6.0 3.0 0.40 
1 64 7.0 0.5 0.05 
1 64 7.0 0.5 0.10 
1 64 7.0 0.5 0.20 
1 64 7.0 0.5 0.40 
1 64 7.0 1.0 0.05 
1 64 7.0 1.0 0.10 
1 64 7.0 1.0 0.20 
1 64 7.0 1.0 0.40 
1 64 7.0 2.0 0.05 
1 64 7.0 2.0 0.10 
1 64 7.0 2.0 0.20 
1 64 7.0 2.0 0.40 
1 64 7.0 3.0 0.05 
1 64 7.0 3.0 0.10 
1 64 7.0 3.0 0.20 
1 64 7.0 3.0 0.40 
1 64 8.0 0.5 0.05 
1 64 8.0 0.5 0.10 
1 64 8.0 0.5 0.20 
1 64 8.0 0.5 0.40 
1 64 8.0 1.0 0.05 
1 64 8.0 1.0 0.10 
1 64 8.0 1.0 0.20 
1 64 8.0 1.0 0.40 
1 64 8.0 2.0 0.05 
1 64 8.0 2.0 0.10 
1 64 8.0 2.0 0.20 
1 64 8.0 2.0 0.40 
1 64 8.0 3.0 0.05 
1 64 8.0 3.0 0.10 
1 64 8.0 3.0 0.20 
1 64 8.0 3.0 0.40 
2 16 1.6 0.5 0.05 
2 16 1.6 0.5 0.10 
2 16 1.6 0.5 0.20 
2 16 1.6 0.5 0.40 
2 16 1.6 1.0 0.05 
2 16 1.6 1.0 0.10 
2 16 1.6 1.0 0.20 
2 16 1.6 1.0 0.40 
2 16 1.6 2.0 0.05 
2 16 1.6 2.0 0.10 
2 16 1.6 2.0 0.20 
2 16 1.6 2.0 0.40 
2 16 1.6 3.0 0.05 
2 16 1.6 3.0 0.10 
2 16 1.6 3.0 0.20 
2 16 1.6 3.0 0.40 
2 16 1.7 0.5 0.05 
2 16 1.7 0.5 0.10 
2 16 1.7 0.5 0.20 
2 16 1.7 0.5 0.40 
2 16 1.7 1.0 0.05 
2 16 1.7 1.0 0.10 
2 16 1.7 1.0 0.20 
2 16 1.7 1.0 0.40 
2 16 1.7 2.0 0.05 
2 16 1.7 2.0 0.10 
2 16 1.7 2.0 0.20 
2 16 1.7 2.0 0.40 
2 16 1.7 3.0 0.05 
2 16 1.7 3.0 0.10 
2 16 1.7 3.0 0.20 
2 16 1.7 3.0 0.40 
2 16 1.8 0.5 0.05 
2 16 1.8 0.5 0.10 
2 16 1.8 0.5 0.20 
2 16 1.8 0.5 0.40 
2 16 1.8 1.0 0.05 
2 16 1.8 1.0 0.10 
2 16 1.8 1.0 0.20 
2 16 1.8 1.0 0.40 
2 16 1.8 2.0 0.05 
2 16 1.8 2.0 0.10 
2 16 1.8 2.0 0.20 
2 16 1.8 2.0 0.40 
2 16 1.8 3.0 0.05 
2 16 1.8 3.0 0.10 
2 16 1.8 3.0 0.20 
2 16 1.8 3.0 0.40 
2 16 1.9 0.5 0.05 
2 16 1.9 0.5 0.10 
2 16 1.9 0.5 0.20 
2 16 1.9 0.5 0.40 
2 16 1.9 1.0 0.05 
2 16 1.9 1.0 0.10 
2 16 1.9 1.0 0.20 
2 16 1.9 1.0 0.40 
2 16 1.9 2.0 0.05 
2 16 1.9 2.0 0.10 
2 16 1.9 2.0 0.20 
2 16 1.9 2.0 0.40 
2 16 1.9 3.0 0.05 
2 16 1.9 3.0 0.10 
2 16 1.9 3.0 0.20 
2 16 1.9 3.0 0.40 
2 16 2.0 0.5 0.05 
2 16 2.0 0.5 0.10 
2 16 2.0 0.5 0.20 
2 16 2.0 0.5 0.40 
2 16 2.0 1.0 0.05 
2 16 2.0 1.0 0.10 
2 16 2.0 1.0 0.20 
2 16 2.0 1.0 0.40 
2 16 2.0 2.0 0.05 
2 16 2.0 2.0 0.10 
2 16 2.0 2.0 0.20 
2 16 2.0 2.0 0.40 
2 16 2.0 3.0 0.05 
2 16 2.0 3.0 0.10 
2 16 2.0 3.0 0.20 
2 16 2.0 3.0 0.40 
2 16 2.2 0.5 0.05 
2 16 2.2 0.5 0.10 
2 16 2.2 0.5 0.20 
2 16 2.2 0.5 0.40 
2 16 2.2 1.0 0.05 
2 16 2.2 1.0 0.10 
2 16 2.2 1.0 0.20 
2 16 2.2 1.0 0.40 
2 16 2.2 2.0 0.05 
2 16 2.2 2.0 0.10 
2 16 2.2 2.0 0.20 
2 16 2.2 2.0 0.40 
2 16 2.2 3.0 0.05 
2 16 2.2 3.0 0.10 
2 16 2.2 3.0 0.20 
2 16 2.2 3.0 0.40 
2 16 2.4 0.5 0.05 
2 16 2.4 0.5 0.10 
2 16 2.4 0.5 0.20 
2 16 2.4 0.5 0.40 
2 16 2.4 1.0 0.05 
2 16 2.4 1.0 0.10 
2 16 2.4 1.0 0.20 
2 16 2.4 1.0 0.40 
2 16 2.4 2.0 0.05 
2 16 2.4 2.0 0.10 
2 16 2.4 2.0 0.20 
2 16 2.4 2.0 0.40 
2 16 2.4 3.0 0.05 
2 16 2.4 3.0 0.10 
2 16 2.4 3.0 0.20 
2 16 2.4 3.0 0.40 
2 16 2.6 0.5 0.05 
2 16 2.6 0.5 0.10 
2 16 2.6 0.5 0.20 
2 16 2.6 0.5 0.40 
2 16 2.6 1.0 0.05 
2 16 2.6 1.0 0.10 
2 16 2.6 1.0 0.20 
2 16 2.6 1.0 0.40 
2 16 2.6 2.0 0.05 
2 16 2.6 2.0 0.10 
2 16 2.6 2.0 0.20 
2 16 2.6 2.0 0.40 
2 16 2.6 3.0 0.05 
2 16 2.6 3.0 0.10 
2 16 2.6 3.0 0.20 
2 16 2.6 3.0 0.40 
2 16 2.8 0.5 0.05 
2 16 2.8 0.5 0.10 
2 16 2.8 0.5 0.20 
2 16 2.8 0.5 0.40 
2 16 2.8 1.0 0.05 
2 16 2.8 1.0 0.10 
2 16 2.8 1.0 0.20 
2 16 2.8 1.0 0.40 
2 16 2.8 2.0 0.05 
2 16 2.8 2.0 0.10 
2 16 2.8 2.0 0.20 
2 16 2.8 2.0 0.40 
2 16 2.8 3.0 0.05 
2 16 2.8 3.0 0.10 
2 16 2.8 3.0 0.20 
2 16 2.8 3.0 0.40 
2 16 3.0 0.5 0.05 
2 16 3.0 0.5 0.10 
2 16 3.0 0.5 0.20 
2 16 3.0 0.5 0.40 
2 16 3.0 1.0 0.05 
2 16 3.0 1.0 0.10 
2 16 3.0 1.0 0.20 
2 16 3.0 1.0 0.40 
2 16 3.0 2.0 0.05 
2 16 3.0 2.0 0.10 
2 16 3.0 2.0 0.20 
2 16 3.0 2.0 0.40 
2 16 3.0 3.0 0.05 
2 16 3.0 3.0 0.10 
2 16 3.0 3.0 0.20 
2 16 3.0 3.0 0.40 
2 16 3.2 0.5 0.05 
2 16 3.2 0.5 0.10 
2 16 3.2 0.5 0.20 
2 16 3.2 0.5 0.40 
2 16 3.2 1.0 0.05 
2 16 3.2 1.0 0.10 
2 16 3.2 1.0 0.20 
2 16 3.2 1.0 0.40 
2 16 3.2 2.0 0.05 
2 16 3.2 2.0 0.10 
2 16 3.2 2.0 0.20 
2 16 3.2 2.0 0.40 
2 16 3.2 3.0 0.05 
2 16 3.2 3.0 0.10 
2 16 3.2 3.0 0.20 
2 16 3.2 3.0 0.40 
2 16 3.4 0.5 0.05 
2 16 3.4 0.5 0.10 
2 16 3.4 0.5 0.20 
2 16 3.4 0.5 0.40 
2 16 3.4 1.0 0.05 
2 16 3.4 1.0 0.10 
2 16 3.4 1.0 0.20 
2 16 3.4 1.0 0.40 
2 16 3.4 2.0 0.05 
2 16 3.4 2.0 0.10 
2 16 3.4 2.0 0.20 
2 16 3.4 2.0 0.40 
2 16 3.4 3.0 0.05 
2 16 3.4 3.0 0.10 
2 16 3.4 3.0 0.20 
2 16 3.4 3.0 0.40 
2 16 3.6 0.5 0.05 
2 16 3.6 0.5 0.10 
2 16 3.6 0.5 0.20 
2 16 3.6 0.5 0.40 
2 16 3.6 1.0 0.05 
2 16 3.6 1.0 0.10 
2 16 3.6 1.0 0.20 
2 16 3.6 1.0 0.40 
2 16 3.6 2.0 0.05 
2 16 3.6 2.0 0.10 
2 16 3.6 2.0 0.20 
2 16 3.6 2.0 0.40 
2 16 3.6 3.0 0.05 
2 16 3.6 3.0 0.10 
2 16 3.6 3.0 0.20 
2 16 3.6 3.0 0.40 
2 16 3.8 0.5 0.05 
2 16 3.8 0.5 0.10 
2 16 3.8 0.5 0.20 
2 16 3.8 0.5 0.40 
2 16 3.8 1.0 0.05 
2 16 3.8 1.0 0.10 
2 16 3.8 1.0 0.20 
2 16 3.8 1.0 0.40 
2 16 3.8 2.0 0.05 
2 16 3.8 2.0 0.10 
2 16 3.8 2.0 0.20 
2 16 3.8 2.0 0.40 
2 16 3.8 3.0 0.05 
2 16 3.8 3.0 0.10 
2 16 3.8 3.0 0.20 
2 16 3.8 3.0 0.40 
2 16 4.0 0.5 0.05 
2 16 4.0 0.5 0.10 
2 16 4.0 0.5 0.20 
2 16 4.0 0.5 0.40 
2 16 4.0 1.0 0.05 
2 16 4.0 1.0 0.10 
2 16 4.0 1.0 0.20 
2 16 4.0 1.0 0.40 
2 16 4.0 2.0 0.05 
2 16 4.0 2.0 0.10 
2 16 4.0 2.0 0.20 
2 16 4.0 2.0 0.40 
2 16 4.0 3.0 0.05 
2 16 4.0 3.0 0.10 
2 16 4.0 3.0 0.20 
2 16 4.0 3.0 0.40 
2 16 4.0 0.5 0.05 
2 16 4.0 0.5 0.10 
2 16 4.0 0.5 0.20 
2 16 4.0 0.5 0.40 
2 16 4.0 1.0 0.05 
2 16 4.0 1.0 0.10 
2 16 4.0 1.0 0.20 
2 16 4.0 1.0 0.40 
2 16 4.0 2.0 0.05 
2 16 4.0 2.0 0.10 
2 16 4.0 2.0 0.20 
2 16 4.0 2.0 0.40 
2 16 4.0 3.0 0.05 
2 16 4.0 3.0 0.10 
2 16 4.0 3.0 0.20 
2 16 4.0 3.0 0.40 
2 16 5.0 0.5 0.05 
2 16 5.0 0.5 0.10 
2 16 5.0 0.5 0.20 
2 16 5.0 0.5 0.40 
2 16 5.0 1.0 0.05 
2 16 5.0 1.0 0.10 
2 16 5.0 1.0 0.20 
2 16 5.0 1.0 0.40 
2 16 5.0 2.0 0.05 
2 16 5.0 2.0 0.10 
2 16 5.0 2.0 0.20 
2 16 5.0 2.0 0.40 
2 16 5.0 3.0 0.05 
2 16 5.0 3.0 0.10 
2 16 5.0 3.0 0.20 
2 16 5.0 3.0 0.40 
2 16 6.0 0.5 0.05 
2 16 6.0 0.5 0.10 
2 16 6.0 0.5 0.20 
2 16 6.0 0.5 0.40 
2 16 6.0 1.0 0.05 
2 16 6.0 1.0 0.10 
2 16 6.0 1.0 0.20 
2 16 6.0 1.0 0.40 
2 16 6.0 2.0 0.05 
2 16 6.0 2.0 0.10 
2 16 6.0 2.0 0.20 
2 16 6.0 2.0 0.40 
2 16 6.0 3.0 0.05 
2 16 6.0 3.0 0.10 
2 16 6.0 3.0 0.20 
2 16 6.0 3.0 0.40 
2 16 7.0 0.5 0.05 
2 16 7.0 0.5 0.10 
2 16 7.0 0.5 0.20 
2 16 7.0 0.5 0.40 
2 16 7.0 1.0 0.05 
2 16 7.0 1.0 0.10 
2 16 7.0 1.0 0.20 
2 16 7.0 1.0 0.40 
2 16 7.0 2.0 0.05 
2 16 7.0 2.0 0.10 
2 16 7.0 2.0 0.20 
2 16 7.0 2.0 0.40 
2 16 7.0 3.0 0.05 
2 16 7.0 3.0 0.10 
2 16 7.0 3.0 0.20 
2 16 7.0 3.0 0.40 
2 16 8.0 0.5 0.05 
2 16 8.0 0.5 0.10 
2 16 8.0 0.5 0.20 
2 16 8.0 0.5 0.40 
2 16 8.0 1.0 0.05 
2 16 8.0 1.0 0.10 
2 16 8.0 1.0 0.20 
2 16 8.0 1.0 0.40 
2 16 8.0 2.0 0.05 
2 16 8.0 2.0 0.10 
2 16 8.0 2.0 0.20 
2 16 8.0 2.0 0.40 
2 16 8.0 3.0 0.05 
2 16 8.0 3.0 0.10 
2 16 8.0 3.0 0.20 
2 16 8.0 3.0 0.40 
2 32 1.6 0.5 0.05 
2 32 1.6 0.5 0.10 
2 32 1.6 0.5 0.20 
2 32 1.6 0.5 0.40 
2 32 1.6 1.0 0.05 
2 32 1.6 1.0 0.10 
2 32 1.6 1.0 0.20 
2 32 1.6 1.0 0.40 
2 32 1.6 2.0 0.05 
2 32 1.6 2.0 0.10 
2 32 1.6 2.0 0.20 
2 32 1.6 2.0 0.40 
2 32 1.6 3.0 0.05 
2 32 1.6 3.0 0.10 
2 32 1.6 3.0 0.20 
2 32 1.6 3.0 0.40 
2 32 1.7 0.5 0.05 
2 32 1.7 0.5 0.10 
2 32 1.7 0.5 0.20 
2 32 1.7 0.5 0.40 
2 32 1.7 1.0 0.05 
2 32 1.7 1.0 0.10 
2 32 1.7 1.0 0.20 
2 32 1.7 1.0 0.40 
2 32 1.7 2.0 0.05 
2 32 1.7 2.0 0.10 
2 32 1.7 2.0 0.20 
2 32 1.7 2.0 0.40 
2 32 1.7 3.0 0.05 
2 32 1.7 3.0 0.10 
2 32 1.7 3.0 0.20 
2 32 1.7 3.0 0.40 
2 32 1.8 0.5 0.05 
2 32 1.8 0.5 0.10 
2 32 1.8 0.5 0.20 
2 32 1.8 0.5 0.40 
2 32 1.8 1.0 0.05 
2 32 1.8 1.0 0.10 
2 32 1.8 1.0 0.20 
2 32 1.8 1.0 0.40 
2 32 1.8 2.0 0.05 
2 32 1.8 2.0 0.10 
