method L v h quenchtau 
1 16 3.4 2.0 0.40 
1 16 3.4 3.0 0.05 
1 16 3.4 3.0 0.10 
1 16 3.4 3.0 0.20 
1 16 3.4 3.0 0.40 
1 16 3.6 0.5 0.05 
1 16 3.6 0.5 0.10 
1 16 3.6 0.5 0.20 
1 16 3.6 0.5 0.40 
1 16 3.6 1.0 0.05 
1 16 3.6 1.0 0.10 
1 16 3.6 1.0 0.20 
1 16 3.6 1.0 0.40 
1 16 3.6 2.0 0.05 
1 16 3.6 2.0 0.10 
1 16 3.6 2.0 0.20 
1 16 3.6 2.0 0.40 
1 16 3.6 3.0 0.05 
1 16 3.6 3.0 0.10 
1 16 3.6 3.0 0.20 
1 16 3.6 3.0 0.40 
1 16 3.8 0.5 0.05 
1 16 3.8 0.5 0.10 
1 16 3.8 0.5 0.20 
1 16 3.8 0.5 0.40 
1 16 3.8 1.0 0.05 
1 16 3.8 1.0 0.10 
1 16 3.8 1.0 0.20 
1 16 3.8 1.0 0.40 
1 16 3.8 2.0 0.05 
1 16 3.8 2.0 0.10 
1 16 3.8 2.0 0.20 
1 16 3.8 2.0 0.40 
1 16 3.8 3.0 0.05 
1 16 3.8 3.0 0.10 
1 16 3.8 3.0 0.20 
1 16 3.8 3.0 0.40 
1 16 4.0 0.5 0.05 
1 16 4.0 0.5 0.10 
1 16 4.0 0.5 0.20 
1 16 4.0 0.5 0.40 
1 16 4.0 1.0 0.05 
1 16 4.0 1.0 0.10 
1 16 4.0 1.0 0.20 
1 16 4.0 1.0 0.40 
1 16 4.0 2.0 0.05 
1 16 4.0 2.0 0.10 
1 16 4.0 2.0 0.20 
1 16 4.0 2.0 0.40 
1 16 4.0 3.0 0.05 
1 16 4.0 3.0 0.10 
1 16 4.0 3.0 0.20 
1 16 4.0 3.0 0.40 
1 16 4.0 0.5 0.05 
1 16 4.0 0.5 0.10 
1 16 4.0 0.5 0.20 
1 16 4.0 0.5 0.40 
1 16 4.0 1.0 0.05 
1 16 4.0 1.0 0.10 
1 16 4.0 1.0 0.20 
1 16 4.0 1.0 0.40 
1 16 4.0 2.0 0.05 
1 16 4.0 2.0 0.10 
1 16 4.0 2.0 0.20 
1 16 4.0 2.0 0.40 
1 16 4.0 3.0 0.05 
1 16 4.0 3.0 0.10 
1 16 4.0 3.0 0.20 
1 16 4.0 3.0 0.40 
1 16 5.0 0.5 0.05 
1 16 5.0 0.5 0.10 
1 16 5.0 0.5 0.20 
1 16 5.0 0.5 0.40 
1 16 5.0 1.0 0.05 
1 16 5.0 1.0 0.10 
1 16 5.0 1.0 0.20 
1 16 5.0 1.0 0.40 
1 16 5.0 2.0 0.05 
1 16 5.0 2.0 0.10 
1 16 5.0 2.0 0.20 
1 16 5.0 2.0 0.40 
1 16 5.0 3.0 0.05 
1 16 5.0 3.0 0.10 
1 16 5.0 3.0 0.20 
1 16 5.0 3.0 0.40 
1 16 6.0 0.5 0.05 
1 16 6.0 0.5 0.10 
1 16 6.0 0.5 0.20 
1 16 6.0 0.5 0.40 
1 16 6.0 1.0 0.05 
1 16 6.0 1.0 0.10 
1 16 6.0 1.0 0.20 
1 16 6.0 1.0 0.40 
1 16 6.0 2.0 0.05 
1 16 6.0 2.0 0.10 
1 16 6.0 2.0 0.20 
1 16 6.0 2.0 0.40 
1 16 6.0 3.0 0.05 
1 16 6.0 3.0 0.10 
1 16 6.0 3.0 0.20 
1 16 6.0 3.0 0.40 
1 16 7.0 0.5 0.05 
1 16 7.0 0.5 0.10 
1 16 7.0 0.5 0.20 
1 16 7.0 0.5 0.40 
1 16 7.0 1.0 0.05 
1 16 7.0 1.0 0.10 
1 16 7.0 1.0 0.20 
1 16 7.0 1.0 0.40 
1 16 7.0 2.0 0.05 
1 16 7.0 2.0 0.10 
1 16 7.0 2.0 0.20 
1 16 7.0 2.0 0.40 
1 16 7.0 3.0 0.05 
1 16 7.0 3.0 0.10 
1 16 7.0 3.0 0.20 
1 16 7.0 3.0 0.40 
1 16 8.0 0.5 0.05 
1 16 8.0 0.5 0.10 
1 16 8.0 0.5 0.20 
1 16 8.0 0.5 0.40 
1 16 8.0 1.0 0.05 
1 16 8.0 1.0 0.10 
1 16 8.0 1.0 0.20 
1 16 8.0 1.0 0.40 
1 16 8.0 2.0 0.05 
1 16 8.0 2.0 0.10 
1 16 8.0 2.0 0.20 
1 16 8.0 2.0 0.40 
1 16 8.0 3.0 0.05 
1 16 8.0 3.0 0.10 
1 16 8.0 3.0 0.20 
1 16 8.0 3.0 0.40 
1 32 1.6 0.5 0.05 
1 32 1.6 0.5 0.10 
1 32 1.6 0.5 0.20 
1 32 1.6 0.5 0.40 
1 32 1.6 1.0 0.05 
1 32 1.6 1.0 0.10 
1 32 1.6 1.0 0.20 
1 32 1.6 1.0 0.40 
1 32 1.6 2.0 0.05 
1 32 1.6 2.0 0.10 
1 32 1.6 2.0 0.20 
1 32 1.6 2.0 0.40 
1 32 1.6 3.0 0.05 
1 32 1.6 3.0 0.10 
1 32 1.6 3.0 0.20 
1 32 1.6 3.0 0.40 
1 32 1.7 0.5 0.05 
1 32 1.7 0.5 0.10 
1 32 1.7 0.5 0.20 
1 32 1.7 0.5 0.40 
1 32 1.7 1.0 0.05 
1 32 1.7 1.0 0.10 
1 32 1.7 1.0 0.20 
1 32 1.7 1.0 0.40 
1 32 1.7 2.0 0.05 
1 32 1.7 2.0 0.10 
1 32 1.7 2.0 0.20 
1 32 1.7 2.0 0.40 
1 32 1.7 3.0 0.05 
1 32 1.7 3.0 0.10 
1 32 1.7 3.0 0.20 
1 32 1.7 3.0 0.40 
1 32 1.8 0.5 0.05 
1 32 1.8 0.5 0.10 
1 32 1.8 0.5 0.20 
1 32 1.8 0.5 0.40 
1 32 1.8 1.0 0.05 
1 32 1.8 1.0 0.10 
1 32 1.8 1.0 0.20 
1 32 1.8 1.0 0.40 
1 32 1.8 2.0 0.05 
1 32 1.8 2.0 0.10 
1 32 1.8 2.0 0.20 
1 32 1.8 2.0 0.40 
1 32 1.8 3.0 0.05 
1 32 1.8 3.0 0.10 
1 32 1.8 3.0 0.20 
1 32 1.8 3.0 0.40 
1 32 1.9 0.5 0.05 
1 32 1.9 0.5 0.10 
1 32 1.9 0.5 0.20 
1 32 1.9 0.5 0.40 
1 32 1.9 1.0 0.05 
1 32 1.9 1.0 0.10 
